전략,총수익(%),연환산수익(%),연환산변동성(%),샤프비율,최대낙폭(%),월승률(%)
Dual Momentum,237.5,13.5,14.4,0.94,-19.9,67.2
VOO Buy&Hold,364.1,17.2,15.1,1.14,-23.9,72.0
60/40 리밸런싱,176.9,10.8,10.1,1.07,-20.1,72.0
