분위,월평균수익(%),연환산수익(%),승률(%),관측월수
Q1,1.07,13.7,68.8,48
Q2,1.89,25.2,68.8,48
Q3,3.15,45.0,62.5,48
Q4,3.57,52.4,58.3,48
