전략,총수익(%),연환산수익(%),연환산변동성(%),샤프비율,최대낙폭(%),월승률(%)
GTAA 추세추종,82.5,6.0,6.2,0.97,-11.5,63.3
VOO 단순보유,320.2,15.7,15.2,1.04,-23.9,69.5
60/40 (VOO+BND),162.6,10.0,10.1,0.99,-20.1,70.3
