분위,월평균수익(%),연환산수익(%),승률(%),관측월수
Q1,3.07,43.8,66.0,47
Q2,2.12,28.6,61.7,47
Q3,2.06,27.8,68.1,47
Q4,1.87,24.9,51.1,47
