,GTAA 추세추종,VOO 단순보유,60/40 (VOO+BND)
2015-12-31,0.9953302523496098,0.9826177149723242,0.988865856178219
2016-01-31,0.9907460544535965,0.9343619952901009,0.9644793086476865
2016-02-29,0.9992122905346585,0.9324172880373305,0.9665576423656743
2016-03-31,0.9996570879773772,0.9965056265626686,1.0098332609340983
2016-04-30,1.0099771988472173,0.9999934988401168,1.0135816580473158
2016-05-31,1.0011299677562229,1.0175389821019245,1.0242228483222082
2016-06-30,1.0361959849970053,1.0208186260525187,1.034478465842929
2016-07-31,1.0623439785008166,1.0584221952657789,1.059821241539409
2016-08-31,1.0543359251256907,1.059696518208219,1.0592571305843421
2016-09-30,1.0562189304536196,1.0600043672497568,1.0599256627360676
2016-10-31,1.0313940757898143,1.0410118978874288,1.0445477367801124
2016-11-30,1.0111749045864824,1.079796766093621,1.0571437230218068
2016-12-31,1.0197228263107818,1.1021704122270752,1.071681036559064
2017-01-31,1.0324579234722666,1.1218180646582414,1.0839396808795938
2017-02-28,1.0432923234648306,1.165301741775459,1.1118218109532638
2017-03-31,1.0502103825223568,1.1668384056402532,1.1125258960014224
2017-04-30,1.057965533857221,1.1789729161679254,1.1230103677793388
2017-05-31,1.068788706357331,1.195530605548625,1.13566365224452
2017-06-30,1.0665509536106579,1.2030583750618564,1.1401873542465057
2017-07-31,1.07845465866396,1.227871485836267,1.1570900222241887
2017-08-31,1.0991711766175112,1.2314473149827259,1.1640549726922178
2017-09-30,1.0941560731197262,1.2565957135175938,1.1761352655441988
2017-10-31,1.1017436453484293,1.2858384086996226,1.1924311349546182
2017-11-30,1.112063030145462,1.325154364305114,1.2137984478949873
2017-12-31,1.1293968663186456,1.342152411662622,1.2257668701535027
2018-01-31,1.1520482622728272,1.4171143225141287,1.2607728032505703
2018-02-28,1.1259870961090683,1.3643123799675556,1.2273609114992128
2018-03-31,1.1219789736625654,1.330646314721915,1.2125594789513836
2018-04-30,1.1208423083262216,1.33526395473969,1.210947285700389
2018-05-31,1.120689263345737,1.3675291156357487,1.2318084102605342
2018-06-30,1.1227767142039267,1.3779016206244328,1.2383428989223908
2018-07-31,1.1271464548035406,1.4269961811422005,1.26463422236376
2018-08-31,1.1375317737098005,1.4729423637758432,1.2924484923959503
2018-09-30,1.1304328933679026,1.4814286719507075,1.294094167138498
2018-10-31,1.1163588433769958,1.380133334964997,1.2365392892749039
2018-11-30,1.1206118317503218,1.4061504987919313,1.25367244102671
2018-12-31,1.1100934860863803,1.2817459285530175,1.1965228265551084
2019-01-31,1.1209243361217607,1.3832551345778337,1.2586961296271635
2019-02-28,1.116656902699363,1.4282089342763329,1.2827859511841382
2019-03-31,1.1364088228373241,1.4557110395048718,1.3075554433657444
2019-04-30,1.1459678458825555,1.514435443099937,1.3390745487964582
2019-05-31,1.1425994122935104,1.4183001149558039,1.2978549421068248
2019-06-30,1.1680148899301712,1.5174559011028266,1.3587689982833946
2019-07-31,1.1681773090350578,1.5396132880648652,1.3714863837751625
2019-08-31,1.2094217103057872,1.5143553258649034,1.3731774237379917
2019-09-30,1.2049334840398385,1.544222323606324,1.3863090804448692
2019-10-31,1.2227445474132543,1.577928160653604,1.4061889794857607
2019-11-30,1.2252264111221425,1.6351426698657474,1.4365482828540757
2019-12-31,1.2436660177268586,1.6837659918972603,1.461750076790554
2020-01-31,1.2703513326830222,1.68314015965319,1.4729978875750265
2020-02-29,1.2524439764586046,1.5468104544769665,1.4112375969938769
2020-03-31,1.2705136793408556,1.3543659877671117,1.2978265565436835
2020-04-30,1.300459164481201,1.5275359495020495,1.4117165478574285
2020-05-31,1.3039393420186292,1.5998812391057768,1.455608829388464
2020-06-30,1.3185716467812651,1.629353004568403,1.4756052228972278
