전략,총수익(%),연환산수익(%),연환산변동성(%),샤프비율,최대낙폭(%),월승률(%)
MVRV 사이클 전략,202.9,39.7,36.3,1.09,-34.0,58.3
BTC 단순보유,290.1,57.3,50.9,1.13,-49.4,58.3
