ticker,entry_date,exit_date,hold_days,hold_return_pct,cut_8pct_hit,cut_8pct_hit_date,cut_8pct_post_cut_return,cut_8pct_better_to_cut,cut_20pct_hit,cut_20pct_hit_date,cut_20pct_post_cut_return,cut_20pct_better_to_cut
ETC-USD,2024-11-30,2025-03-01,91,-41.82,True,2024-12-18,-36.76,True,True,2024-12-21,-27.28,True
ETC-USD,2025-08-05,2025-10-24,80,-20.72,True,2025-09-25,-13.83,True,True,2025-10-10,-0.9,True
ETH-USD,2021-12-31,2022-01-28,28,-30.84,True,2022-01-07,-24.82,True,True,2022-01-21,-13.54,True
ETH-USD,2023-02-09,2023-09-01,204,5.31,False,,,,False,,,
ETH-USD,2023-11-21,2024-08-08,261,38.53,False,,,,False,,,
ETH-USD,2024-12-05,2025-03-01,86,-41.84,True,2024-12-19,-36.78,True,True,2025-02-02,-27.29,True
ETH-USD,2025-07-01,2025-11-30,152,24.37,False,,,,False,,,
GAS-USD,2023-02-11,2023-06-12,121,-28.64,True,2023-03-08,-22.44,True,True,2023-06-10,-10.8,True
GAS-USD,2023-10-31,2024-04-21,173,-11.42,True,2024-01-07,-3.72,True,True,2024-04-13,10.73,False
GAS-USD,2024-11-08,2025-02-28,112,-14.29,True,2025-02-24,-6.83,True,False,,,
GAS-USD,2025-08-19,2025-10-15,57,-18.06,True,2025-09-25,-10.94,True,True,2025-10-10,2.42,False
ID-USD,2023-04-24,2023-05-22,28,-25.54,True,2023-05-02,-19.07,True,True,2023-05-07,-6.93,True
ID-USD,2023-12-03,2024-07-08,218,-29.63,True,2023-12-04,-23.51,True,True,2023-12-05,-12.03,True
ID-USD,2025-09-05,2025-10-20,45,-25.99,True,2025-09-21,-19.56,True,True,2025-09-22,-7.49,True
ID-USD,2025-11-08,2025-12-01,23,-97.26,True,2025-11-09,-97.02,True,True,2025-11-09,-96.57,True
LINK-USD,2023-02-27,2023-06-05,98,-16.67,True,2023-03-08,-9.42,True,False,,,
LINK-USD,2023-08-10,2023-09-12,33,-21.67,True,2023-08-16,-14.86,True,True,2023-08-24,-2.09,True
LINK-USD,2023-10-14,2024-05-10,209,85.3,False,,,,False,,,
LINK-USD,2024-11-29,2025-03-21,112,-23.68,True,2025-02-24,-17.05,True,True,2025-03-03,-4.6,True
LINK-USD,2025-08-09,2025-11-17,100,-39.33,True,2025-09-25,-34.05,True,True,2025-10-10,-24.16,True
LTC-USD,2021-12-31,2022-01-07,7,-10.26,True,2022-01-07,0.0,True,False,,,
LTC-USD,2022-11-25,2023-06-20,207,8.48,True,2022-12-16,17.92,False,False,,,
LTC-USD,2023-06-30,2023-08-20,51,-39.67,True,2023-07-06,-34.43,True,True,2023-08-03,-24.59,True
LTC-USD,2024-02-23,2024-07-04,132,-5.1,False,,,,False,,,
LTC-USD,2024-11-19,2025-04-11,143,-12.22,True,2025-04-06,-4.58,True,True,2025-04-08,9.73,False
LTC-USD,2025-08-06,2025-11-12,98,-18.24,True,2025-08-25,-11.13,True,True,2025-10-11,2.21,False
