전략,총수익(%),연환산수익(%),연환산변동성(%),샤프비율,최대낙폭(%),월승률(%)
Risk Parity (역변동성),109.9,7.5,6.6,1.13,-15.6,65.4
동일 비중 1/3,190.6,11.0,8.7,1.27,-15.9,67.7
60/40 (VOO+BND),180.9,10.8,10.1,1.07,-20.1,71.7
