,리밸런싱 60/30/10,드리프트(리밸런싱 無),VOO 단순보유,BND 단순보유,GLD 단순보유
2015-02-28,1.0236521590203604,1.0236521590203604,1.0557955025966859,0.9869335898572043,0.9409478050518768
2015-03-31,1.0134757438013349,1.0132907533472617,1.0392115486389097,0.9923138502997205,0.9206966907399975
2015-04-30,1.0184294752404528,1.0184355967882053,1.0496476209210275,0.9891042186933576,0.9191575862758159
2015-05-31,1.0251195259340238,1.0253484741032388,1.062774672879306,0.9841919529742277,0.9242608448338707
2015-06-30,1.0081692026815816,1.0082477671878443,1.0420827930972396,0.9732446016520396,0.9102471083388882
2015-07-31,1.0173191028565616,1.0183967576110415,1.0647635740091481,0.9818021198950909,0.8499797723702567
2015-08-31,0.982883600949072,0.9816203172247708,0.9994263195108007,0.979384917962495,0.8814905012954211
2015-09-30,0.9689600092480374,0.9676261236215489,0.9747843470892824,0.9873138395295696,0.8656136350910874
2015-10-31,1.020392372599497,1.0191194696604724,1.0571674840497136,0.9876036832901617,0.8853787424359604
2015-11-30,1.0149013256840216,1.0146725240422327,1.0616614160488844,0.9837197768982293,0.8255974134343351
2015-12-31,1.0033219370415059,1.0027073676574816,1.0432070119752253,0.9819867963021128,0.8218712158171289
2016-01-31,0.9828027775340699,0.9799542685720808,0.9919759841837956,0.9937813783588136,0.8663426455415967
2016-02-29,0.9948267849267604,0.9907218980057068,0.9899113637254074,1.0022379739547342,0.961036875840423
2016-03-31,1.0376509068701054,1.0333914241698459,1.057951574951884,1.011089453957162,0.9529364301156713
2016-04-30,1.046385786126654,1.0417040287937855,1.0616544125184961,1.015164562200344,1.0016201262258482
2016-05-31,1.0509557543956243,1.0467102024134747,1.0802819763434954,1.01509081834519,0.9401377110382046
2016-06-30,1.0687826035849939,1.06338246391098,1.0837636444504533,1.0355931305698307,1.024463380697588
2016-07-31,1.0964465351459236,1.0912298928546071,1.123685290170474,1.0417972441845302,1.0447954549696374
2016-08-31,1.0926370719880631,1.0876597425090306,1.1250393060455488,1.0385293270569118,1.0107736076462788
2016-09-30,1.0939544222109012,1.0889077690733513,1.125365325460147,1.039715247352982,1.0177399959136848
2016-10-31,1.0758891727873063,1.0708821653623628,1.105202059971738,1.0299469741134992,0.987768371452702
2016-11-30,1.0826417731045201,1.079381157927187,1.1463786571369932,1.0034382755696363,0.9052248097410033
2016-12-31,1.0950989264237483,1.0928920625394674,1.1701312826996353,1.0067476894542358,0.8878898608341543
2017-01-31,1.113356842670338,1.1107804312515137,1.1909913487114616,1.0086165640102362,0.9360065282156582
2017-02-28,1.144855351963205,1.1433258834003694,1.2371556775184842,1.0148361993126616,0.9658161709548043
2017-03-31,1.145135608274088,1.1437711591601873,1.2387868910963198,1.0144351062310641,0.9616849263307621
2017-04-30,1.1569929981655238,1.1555840442828675,1.2516700374962921,1.0225098049551056,0.9782908029856052
2017-05-31,1.1690639670782925,1.1681884196383243,1.269248391268769,1.0297726877341793,0.9770757855680895
2017-06-30,1.1711405043700058,1.1710358610513851,1.2772403329458042,1.0303006785321625,0.956014577242538
2017-07-31,1.1904941833470515,1.190946185226724,1.3035838587503625,1.0366099595004319,0.9781288212637687
2017-08-31,1.201387063740976,1.2006519493179317,1.3073798737212716,1.047680724078496,1.0191980786162
2017-09-30,1.210370137157678,1.211763895984428,1.3340795645712304,1.0427697887897427,0.9848522060476718
2017-10-31,1.2262665723170425,1.2295699208172488,1.3651247937764799,1.0424898915800607,0.9774807707734295
2017-11-30,1.2488080267187625,1.25462900637821,1.4068654288890956,1.0413778418467994,0.9809639649071327
2017-12-31,1.2630754512242828,1.2692121486826922,1.424910786187901,1.0470122144912248,1.0016201262258482
2018-01-31,1.3047967269768415,1.3163135650999012,1.5044951500044554,1.0340476139491441,1.0340219091248548
2018-02-28,1.2688616693566328,1.2773179243888666,1.4484379792723918,1.0233318842201198,1.0125557155939635
2018-03-31,1.253490790189906,1.2586205388742184,1.412695918687591,1.030358267161316,1.0189550751326968
2018-04-30,1.2516970456564085,1.2579529214689367,1.4175974764554502,1.021569950924858,1.009234503182097
2018-05-31,1.270909412280148,1.2793896999810705,1.4518530630904407,1.0285379216371435,0.997164856356636
2018-06-30,1.272817450862116,1.2829736541460597,1.4628646428696854,1.030476928880133,0.9611178976020894
2018-07-31,1.297034100384762,1.3119785774361974,1.5149863370257164,1.030099023299383,0.9395706823095317
2018-08-31,1.3219207252821585,1.3413045787111073,1.5637666366834364,1.0369881184964913,0.9194816115209854
2018-09-30,1.323451587265443,1.3444039577411595,1.5727754097725029,1.0313269471830537,0.9134062772274216
2018-10-31,1.268537619327617,1.2791477341670308,1.465234373651947,1.022434920731057,0.9327663375654585
2018-11-30,1.285736568618663,1.2979879912660404,1.4928556885008322,1.0289400917338074,0.935925506453992
2018-12-31,1.2310694271062121,1.229153614965816,1.3607800674247124,1.0482255669945812,0.9821790441261448
2019-01-31,1.297223762038176,1.300143614433122,1.4685484645317874,1.0598715843259077,1.0105306041627757
2019-02-28,1.3213775816951778,1.327876948092326,1.5162742761140837,1.0589165253770718,1.0043742481075455
2019-03-31,1.3422203623977127,1.3499511920118428,1.5454726033056254,1.0794469667011009,0.9883354001813751
2019-04-30,1.373717385918175,1.3866222085434186,1.6078178278215547,1.0791803737951837,0.9817739971193088
2019-05-31,1.3313367067611699,1.3330226695314311,1.5057549734708298,1.0988896228077827,0.9990279860659875
2019-06-30,1.4028163157562767,1.408289687982121,1.61102432823456,1.112590521532508,1.0789793458163293
2019-07-31,1.41574662024854,1.4229114320068554,1.6345481718045172,1.1142549532873216,1.079060429379492
2019-08-31,1.424773750998555,1.4246162851761721,1.6077324659511694,1.1451096610405502,1.1644390729330583
2019-09-30,1.4343708910301571,1.4377384676851195,1.6394410005345008,1.1386099384669608,1.1249088582433122
2019-10-31,1.4581708039547217,1.463154767257821,1.6752248793007507,1.1421506571755868,1.1537464252469496
2019-11-30,1.4850336001089697,1.4957558049990616,1.7359669043603971,1.1416763904232827,1.1167274525583903
2019-12-31,1.5166266812729017,1.5305564067793425,1.787589216349609,1.1408250416899854,1.1575536446258223
2020-01-31,1.5321194350324583,1.5421413698298687,1.7869252004684442,1.1634076401928333,1.209639574909532
2020-02-29,1.4643503662029258,1.4603498594782611,1.642188921957732,1.1828069622815378,1.2019441761916163
2020-03-31,1.3484375949248593,1.332426754138167,1.4378780764529733,1.1659093561312497,1.199271014270089
2020-04-30,1.4728389874644698,1.4610955329053408,1.6217261286696718,1.198082583741405,1.2863508058111701
2020-05-31,1.5214580276104426,1.5129116024688725,1.6985320194304319,1.2060934218073749,1.3196436426840195
2020-06-30,1.5455036073218866,1.537726724018122,1.7298210526935471,1.2141897875404046,1.3557715613987362
2020-07-31,1.6234606854705063,1.6186958749967044,1.8315610341433266,1.2318423178986084,1.5020655914112733
2020-08-31,1.6862510670607482,1.691336021764028,1.9592388441373443,1.2202405848926707,1.4972053981382178
2020-09-30,1.6407145948965038,1.6405732234918446,1.8856439198089676,1.2190392696165298,1.4347509072150655
2020-10-31,1.6120692278203312,1.6089984826102215,1.8376526845749979,1.2122567355571954,1.4272985119806532
2020-11-30,1.7150989446120908,1.7263882255688936,2.038812956409417,1.2269677477068122,1.3501012741120086
2020-12-31,1.766445477469395,1.7822239982015444,2.1151542796544187,1.2288395998927029,1.4447955044108352
2021-01-31,1.7453598493419633,1.7614283644065951,2.0935525499245133,1.21825013434179,1.3982179414935128
2021-02-28,1.7553038906507863,1.7817707838047168,2.1514644382041963,1.1993960352921356,1.3107331029455958
2021-03-31,1.7947872597536478,1.8347580714849936,2.2498991593124513,1.1841461354862137,1.2957473525166006
2021-04-30,1.8628076395915272,1.9138578650731095,2.368909440698062,1.1944007127052165,1.3419198684270868
2021-05-31,1.885430588071827,1.9341993517575367,2.384719961299911,1.196238733947248,1.444957547934168
2021-06-30,1.9025918963329334,1.9594224322199345,2.4386039061023475,1.2069746735472293,1.3416768649435837
2021-07-31,1.9420093725196825,2.002852876877533,2.4982800750372443,1.2210768554150344,1.3756177523067723
2021-08-31,1.9751518145773266,2.0463000235620545,2.572023393009501,1.2187650742513183,1.3745646548095969
2021-09-30,1.9075098406557232,1.9661925309765178,2.4520728115439283,1.206411077898218,1.3302552068069657
2021-10-31,1.9912913652964732,2.071969412648838,2.624662536410744,1.207259892478417,1.349939230588676
2021-11-30,1.982363217687463,2.0602132274884783,2.6053894297847346,1.2097239762433274,1.3406237674464085
2021-12-31,2.0412980359849535,2.1347969261360373,2.7242009733080224,1.2059703886744633,1.3848522554888696
2022-01-31,1.9610366232981051,2.0393383083927845,2.5814294388223344,1.181067519595021,1.3616038922087972
2022-02-28,1.9312773725129007,1.9974778633009158,2.504490074982435,1.1676268783934676,1.4449575479341683
2022-03-31,1.961697741133562,2.046616398935831,2.599390144753838,1.1354925500333675,1.4633454707351998
2022-04-30,1.8308633665841088,1.8930503437588169,2.371050896989842,1.090382724272865,1.4330498828305438
2022-05-31,1.8322920863769356,1.8947719045414901,2.3771861926108895,1.0994305377865659,1.3863102763898885
2022-06-30,1.7294288898981183,1.7692416762025776,2.1807239701613064,1.0811572666269893,1.3646011411769903
2022-07-31,1.832766265969834,1.893800214120922,2.3813320795998933,1.106908823578976,1.3292831928729532
2022-08-31,1.7665855007492481,1.821603268791954,2.283007993971686,1.0759422329664674,1.2901580251900433
2022-09-30,1.6418111435659097,1.6783688093727311,2.072997492736121,1.0309357372985388,1.2528959254149883
2022-10-31,1.7131442966954447,1.7735187700106645,2.24127466689078,1.0190003196834125,1.2305387397117509
2022-11-30,1.803117983663469,1.8692042037274461,2.3646563692439866,1.056356460563572,1.3350344401198508
2022-12-31,1.7420242100171004,1.7892305890321516,2.2291037490811676,1.0478412626772584,1.3741596078027607
2023-01-31,1.835116688835159,1.8916880814787023,2.3693188934746794,1.0825554855988504,1.453300997142423
2023-02-28,1.7830799813388691,1.8397120140985543,2.3101240396282083,1.0536940793187375,1.3752936652601062
2023-03-31,1.8511998014654196,1.910480708823806,2.3958295905045937,1.0818886232110927,1.484163675577248
2023-04-30,1.8737228295208022,1.9365264561816482,2.433925750803833,1.0882492207795982,1.4969623946547146
2023-05-31,1.8700813211436231,1.9377516296006045,2.445648036666831,1.075584917379639,1.4768733238661684
2023-06-30,1.9377162120515277,2.0292745757487087,2.6048573644761044,1.0731783588900552,1.4440664939603256
2023-07-31,1.979713170357904,2.0836190234987346,2.690559464337516,1.0719057072042035,1.477116327349672
2023-08-31,1.9539196620594528,2.053321406312953,2.6467486262422892,1.0648266772323947,1.4582422739786414
2023-09-30,1.8744696817429989,1.9631236829179637,2.521189130439637,1.0384268839179214,1.3888213947880828
2023-10-31,1.8553095438654597,1.9357678464761234,2.4664251768188423,1.0226387933477965,1.4912110238048246
2023-11-30,1.9873667432651274,2.089183972409719,2.692606322218832,1.0690808867457828,1.528959130546886
2023-12-31,2.065708276664194,2.1765174907958,2.815890381148364,1.107090142233143,1.548562194368426
2024-01-31,2.081677512825659,2.2009256605020653,2.861145976512392,1.1052839246124921,1.526528972108862
2024-02-29,2.139151680513573,2.2864916875010888,3.0101279169450312,1.0902180043214902,1.533495360376268
2024-03-31,2.205248062454852,2.3618052002674936,3.1088632823577815,1.0994828680480409,1.6664237043841619
2024-04-30,2.142865721250333,2.284067311014505,2.9842371846051434,1.0730028687880135,1.7162413961501881
2024-05-31,2.2217540868803574,2.3822421016768494,3.1342152503599707,1.0910345084496889,1.7440259892596426
2024-06-30,2.2748770572768025,2.451971325586363,3.2460177824711574,1.100643256751648,1.7416767907817887
2024-07-31,2.318982278685105,2.4916789720680024,3.2836616568079284,1.126554592056468,1.8351560036630994
2024-08-31,2.3672375151926306,2.5475833610967062,3.3622595378441344,1.1429081155365999,1.8735520372925074
2024-09-30,2.4195442809658507,2.6055349532905647,3.435431814338642,1.1579547762640565,1.9688943180816731
2024-10-31,2.3983663102386057,2.5859378197408427,3.402879202092858,1.1295196778888668,2.05354395118473
2024-11-30,2.48330459982752,2.7033800216363293,3.603274972610106,1.141587314941885,1.9893884358770557
2024-12-31,2.4325118483233603,2.644367945075442,3.5191879477565053,1.1223969337761162,1.9613609628870907
2025-01-31,2.4927129310036684,2.7165922412969365,3.6140242752513303,1.1291085115487045,2.094451226815325
2025-02-28,2.4944603278420256,2.70028071838337,3.5683044168728646,1.1534588085451123,2.13260425696123
2025-03-31,2.43418191406417,2.6004019975698753,3.3681930505896465,1.153599707457365,2.3340625497888325
2025-04-30,2.4384276714003184,2.598035600180291,3.340862636002978,1.158169292323808,2.4606723088136744
2025-05-31,2.5252629551818337,2.721471902179658,3.550723728590259,1.1503604262597544,2.459295371475818
2025-06-30,2.6161503781975393,2.8379034508714103,3.7343924295287523,1.1678070566787397,2.469258761505432
2025-07-31,2.6483568508112887,2.886698090691701,3.819792870081264,1.1647042396254605,2.454110967553104
2025-08-31,2.7037171270672644,2.9505415947311415,3.899078112099929,1.178146147903563,2.576508831001215
2025-09-30,2.8020545412733853,3.0677822652099107,4.037475586606571,1.1911678935980052,2.8794654516657325
2025-10-31,2.8573423635445594,3.138176860739603,4.134130395991789,1.1983500636009057,2.981936040642645
2025-11-30,2.881545938394525,3.1617503003457568,4.1431631231847925,1.2055077790264097,3.1420009272696543
2025-12-31,2.8865749632767357,3.169450543900272,4.146424941337822,1.201889388525328,3.2102876253998747
2026-01-31,2.9489770413791327,3.245690503792588,4.206525788115395,1.2044856283743024,3.604293424110671
2026-02-28,2.974455957458672,3.2623582931392097,4.172276697508591,1.223777375663994,3.9185906193486435
2026-03-31,2.836701934914904,3.0873015427102057,3.963320988849772,1.2025162112941359,3.4855408601210924
2026-04-30,3.0131369518861537,3.333303984505989,4.3813749127857475,1.2043185009774844,3.431834865413031
2026-05-31,3.1065201280600183,3.4679292075612094,4.612919341457023,1.2076393819048528,3.378857881155479
2026-06-30,3.054826258625601,3.4028392594078185,4.568613993216117,1.2108887997148554,2.9840422356369953
2026-07-31,3.045295876137393,3.4001133315478826,4.567549862598855,1.1953981553646167,3.009639673791929
2026-08-31,3.1358685786475595,3.507326131850131,4.6685261547349866,1.2019083946735634,3.456379206070789
