,MVRV 사이클 전략,BTC 단순보유
2022-10-31,1.0547548335141876,1.0547548335141876
2022-11-30,0.8835298875996123,0.8835298875996123
2022-12-31,0.8515683265461034,0.8515683265461034
2023-01-31,1.1907953060163579,1.1907953060163579
2023-02-28,1.1911067922287457,1.1912106209662086
2023-03-31,1.3968521112100973,1.465561626024367
2023-04-30,1.4259257263313718,1.5062332421623883
2023-05-31,1.3510524958479837,1.4007798312124669
2023-06-30,1.4723209225183178,1.5684223338931178
2023-07-31,1.4271349776453797,1.5042419014589903
2023-08-31,1.306345086330882,1.3344871423235691
2023-09-30,1.3455046254282539,1.387824658289876
2023-10-31,1.6336304565646815,1.7840756267215172
2023-11-30,1.7412450873954053,1.940775806718132
2023-12-31,1.8988890616882625,2.175053844196185
2024-01-31,1.9095847703404958,2.1913888284701017
2024-02-29,2.5356926231660317,3.1493951800147078
2024-03-31,2.7246676041070503,3.6709768826773472
2024-04-30,2.6429524362775814,3.120497823114429
2024-05-31,2.777397444807632,3.4732475659046136
2024-06-30,2.6882664392440465,3.2255544132942604
2024-07-31,2.7257278031388243,3.325440071017651
2024-08-31,2.618494005460495,3.0347127713166535
2024-09-30,2.7056065134863587,3.2590668721396847
2024-10-31,2.8379853010565155,3.613418572739821
2024-11-30,3.3151341837052617,4.963467562213819
2024-12-31,3.2943745958026196,4.808059763539852
2025-01-31,3.357673250666297,5.2699740156774375
2025-02-28,3.2394258942627094,4.3420092478939765
2025-03-31,3.207910395334428,4.248137615995698
2025-04-30,3.4117845962782583,4.848102879101538
2025-05-31,3.581775757613575,5.384892426191137
2025-06-30,3.620242175945425,5.513405667018727
2025-07-31,3.7513622236726154,5.957156222346679
2025-08-31,3.7026126043866845,5.570084699322832
2025-09-30,3.792194974056921,5.86956175628772
2025-10-31,3.724867909130998,5.637986482362784
2025-11-30,3.4316948598648134,4.6518780236476225
2025-12-31,3.349537296871779,4.503385037967345
2026-01-31,3.0943940167008264,4.046005076250297
2026-02-28,2.7512311728193235,3.447745298156331
2026-03-31,2.7893438223639726,3.511427191831683
2026-04-30,3.0367979062696335,3.926777923899666
2026-05-31,2.955470670932887,3.7865626918519864
2026-06-30,2.502965178402479,3.0135598521912983
2026-07-31,2.639364265689326,3.2325251108746174
2026-08-31,3.107470237190606,3.996933584586146
