전략,총수익(%),연환산수익(%),연환산변동성(%),샤프비율,최대낙폭(%),월승률(%)
리밸런싱 60/30/10,202.8,10.8,10.3,1.05,-19.5,66.4
드리프트(리밸런싱 無),236.0,11.9,11.7,1.02,-21.4,67.2
VOO 단순보유,348.6,15.4,15.4,1.0,-24.0,67.2
BND 단순보유,20.8,1.8,5.0,0.36,-17.3,56.2
GLD 단순보유,205.6,11.5,15.3,0.75,-22.0,51.1
