,Risk Parity,동일 비중(1/3),60/40 (VOO+BND)
2016-02-29,1.0219437587168512,1.0385770944327974,1.0021547305350356
2016-03-31,1.0367693801695754,1.0625118833128864,1.047024443649253
2016-04-30,1.0461320599004618,1.0832726170608058,1.0509109574721445
2016-05-31,1.041166718107463,1.067417481901974,1.0619441869340305
2016-06-30,1.0677650729346617,1.1076645255754205,1.0725770061265536
2016-07-31,1.079732793561311,1.130804953012885,1.0988532264756266
2016-08-31,1.0740044875400374,1.117802075688511,1.098268156430194
2016-09-30,1.0757362732472155,1.1209039761139281,1.098961315936741
2016-10-31,1.0622203417991227,1.0996957459623995,1.0830169978032702
2016-11-30,1.038823399256229,1.0732856207810175,1.0960767343227333
2016-12-31,1.0434459635902193,1.0750277289656582,1.1111497076557983
2017-01-31,1.0562591274855397,1.101500506154607,1.1238598350242852
2017-02-28,1.0745672687664396,1.129689564019205,1.1527689250232782
2017-03-31,1.074199757198254,1.1284269152545778,1.1534992093734913
2017-04-30,1.0847717570949218,1.1418277370907248,1.1643694809079834
2017-05-31,1.0939150192988083,1.1494034388515098,1.1774886849649286
2017-06-30,1.0936528228918199,1.1437541931451514,1.1821792690059507
2017-07-31,1.1081379512842244,1.162771003332277,1.199704266409471
2017-08-31,1.1224376079589258,1.184313061488316,1.2069254818465005
2017-09-30,1.121506619348217,1.1772214306978828,1.219451493161253
2017-10-31,1.1287210028058687,1.1833102295279032,1.2363466328530968
2017-11-30,1.1402539677504002,1.196355917399884,1.2585015416431125
2017-12-31,1.1519038411135525,1.2120256682174737,1.2709103942226683
2018-01-31,1.1635157734935273,1.2426573004208377,1.3072055674169003
2018-02-28,1.141981858619581,1.214332119256821,1.2725634809940678
2018-03-31,1.1410314575782452,1.2096808837713653,1.257216805742064
2018-04-30,1.1338557380373528,1.2037941532684062,1.2555450411390348
2018-05-31,1.1411131425573504,1.211428785774939,1.277174462871403
2018-06-30,1.1358406985059157,1.2006552000248745,1.2839496217243112
2018-07-31,1.138218475123659,1.2057953671020867,1.3112089396701545
2018-08-31,1.145433566949284,1.2128316005637658,1.3400483393674134
2018-09-30,1.141282761982408,1.2102826906368953,1.3417546086388021
2018-10-31,1.1270394477019783,1.1877696666994935,1.2820796841104967
2018-11-30,1.135790394393217,1.1990934216074436,1.2998440115640157
2018-12-31,1.1485663438869211,1.1909761410995165,1.2405895080941445
2019-01-31,1.1769570478038505,1.2382864991167446,1.3050526290687763
2019-02-28,1.1797939594926963,1.2488139929140825,1.3300294737401663
2019-03-31,1.1928965503023525,1.2582534058202497,1.3557114818058884
2019-04-30,1.196536361450205,1.2722847007419198,1.3883913630162774
2019-05-31,1.2054549982493035,1.26056195566384,1.3456535012649329
2019-06-30,1.2478124800999946,1.3288042832961717,1.4088109394141275
2019-07-31,1.2511962983808524,1.335967988273514,1.4219968400836613
2019-08-31,1.292722864353512,1.3762288428014373,1.4237500969102823
2019-09-30,1.2813865387891687,1.3670989572996077,1.437365276388753
2019-10-31,1.2949956922768289,1.390144494196203,1.4579768166121327
2019-11-30,1.292569646235619,1.391886405074655,1.489454366808708
2019-12-31,1.3063049255551915,1.4222987184974105,1.5155845735223443
2020-01-31,1.3343792819594285,1.4528399139493504,1.5272467085830022
2020-02-29,1.3276672088354955,1.4186091000690237,1.4632117551031858
2020-03-31,1.2814589305826447,1.3519706043657576,1.3456243132584047
2020-04-30,1.3485943123442152,1.4547503554817567,1.4637089521091045
2020-05-31,1.370739451058681,1.4935092574895654,1.5092171594938748
2020-06-30,1.3882006506466034,1.5196508367522172,1.5299501236959043
2020-07-31,1.4441903091350445,1.6114673999999214,1.5928381216859475
2020-08-31,1.447754178267615,1.6421156776301895,1.6534598908610958
2020-09-30,1.4274205350939833,1.5981823831013164,1.6155428756524355
2020-10-31,1.41598838218139,1.5788928880765074,1.587277203552899
2020-11-30,1.431588837281606,1.6144259479179475,1.6992338750442342
2020-12-31,1.4596672103030972,1.673141945316065,1.738446882261429
2021-01-31,1.4402242243021028,1.6446598206120917,1.72180107515506
2021-02-28,1.4128388752555359,1.617038576786101,1.7397190103483062
2021-03-31,1.404874346941633,1.6286839342058241,1.7786290755034995
2021-04-30,1.4315927578499743,1.6814477861551544,1.8412396804354974
2021-05-31,1.4520428815250421,1.7290869721771676,1.8497462337270905
2021-06-30,1.4523787676087778,1.7060866558744887,1.8814644750915324
2021-07-31,1.4749428228004482,1.7410347063914127,1.9178830969620588
2021-08-31,1.4802219885728982,1.756622146574429,1.9503975731127392
2021-09-30,1.4518349442980367,1.7045041900257116,1.8879136030444503
2021-10-31,1.4725668688866158,1.7533016750784285,1.9681734424920192
2021-11-30,1.4714282714143703,1.7461702194450726,1.961109073343893
2021-12-31,1.4862974639103852,1.7901096767274884,2.0123333998349073
2022-01-31,1.4473376701819591,1.7364987551819744,1.9324342309157647
2022-02-28,1.4405206518688773,1.7480936197186843,1.8890793496674463
2022-03-31,1.4271358774071772,1.761551634786621,1.9112317598155595
2022-04-30,1.3634424997787586,1.6744882185295302,1.7801277946147316
2022-05-31,1.3629435906481935,1.662359018451072,1.7887996139616376
