Date,BTC+ETH 리밸런싱,드리프트(리밸런싱 無),BTC 단순보유,ETH 단순보유
2021-10-31,1.4144129317820586,1.4144129317820586,1.4002672858735883,1.4285585776905292
2021-11-30,1.4212996251715975,1.422363586305112,1.301764359724825,1.5429628128853994
2021-12-31,1.1423322747780325,1.1421511330590293,1.0574446082496638,1.2268576578683952
2022-01-31,0.891614102035074,0.8871922832841599,0.8787928497906733,0.8955917167776466
2022-02-28,0.9844729723978711,0.9794373684829756,0.9863519536961388,0.9725227832698125
2022-03-31,1.0723169780017712,1.0665905347814146,1.0399119787049051,1.0932690908579241
2022-04-30,0.8901044228033346,0.8854012356087135,0.8612492483588331,0.909553222858594
2022-05-31,0.6917853957892182,0.6865416468690111,0.7260027658075678,0.6470805279304543
2022-06-30,0.4053192537626908,0.40368364582395644,0.45180000943760684,0.355567282210306
2022-07-31,0.5583333116622191,0.5465544539578634,0.5329166424705334,0.5601922654451932
2022-08-31,0.49778829988903095,0.4877288216784438,0.4578523431981301,0.5176053001587572
2022-09-30,0.45395962280325136,0.4430761747292272,0.44374040015631805,0.4424119493021362
2022-10-31,0.5082184281178974,0.49599113220085905,0.46803733189039626,0.5239449325113217
2022-11-30,0.422207209228924,0.4118562645885962,0.3920579058735187,0.4316546233036736
2022-12-31,0.39845418717297676,0.38828794162685226,0.37787526998201404,0.3987006132716904
2023-01-31,0.542701638380492,0.5284766577661635,0.5284039855959638,0.528549329936363
2023-02-28,0.5461074434188258,0.5317936225370609,0.5285882776180014,0.5349989674561202
2023-03-31,0.6457437190026281,0.6286649457484763,0.6503289023857967,0.6070009891111559
2023-04-30,0.6644328769014908,0.6468340174826376,0.6683765416058864,0.6252914933593887
2023-05-31,0.6406794501887272,0.6229716713381134,0.6215826028331196,0.6243607398431071
2023-06-30,0.6891117562657257,0.6700041199483731,0.6959723540558383,0.6440358858409077
2023-07-31,0.6612838032704547,0.6429338066686565,0.6674929032853131,0.6183747100519997
2023-08-31,0.5864697152905323,0.5702027110285695,0.5921658585381219,0.5482395635190169
2023-09-30,0.6027377535832229,0.5862881212414395,0.6158338692163549,0.556742373266524
2023-10-31,0.7149865846418892,0.6984070443627005,0.7916664325105399,0.605147656214861
2023-11-30,0.7928519495484073,0.7725016629334478,0.8612006330868048,0.6838026927800906
2023-12-31,0.884918080904577,0.8626121443212522,0.965159263185153,0.7600650254573513
2024-01-31,0.8884491555380604,0.8664151641973222,0.9724077556434079,0.7604225727512365
2024-02-29,1.2888238367369627,1.2554320075262335,1.3975138774301055,1.1133501376223613
2024-03-31,1.4545398457178724,1.4221163851392922,1.6289607508838388,1.215272019394745
2024-04-30,1.2187695891708201,1.1941124724815284,1.3846909527157159,1.0035339922473405
2024-05-31,1.4389236818012692,1.3969307128831934,1.5412202647364706,1.2526411610299155
2024-06-30,1.325019494474298,1.2874825717973786,1.4313088060811725,1.1436563375135842
2024-07-31,1.3066300929006665,1.2760640981916773,1.4756321078092267,1.0764960885741275
2024-08-31,1.1043658925895443,1.0919769898374305,1.3466246595035405,0.8373293201713202
2024-09-30,1.1648882971411831,1.1566909440762212,1.4461796379794634,0.8672022501729786
2024-10-31,1.208690773716638,1.2207752571321056,1.6034198033998397,0.8381307108643706
2024-11-30,1.7203261458441528,1.7185176374471935,2.202491082219664,1.2345441926747214
2024-12-31,1.6067736336941432,1.621876469132902,2.1335303634486653,1.1102225748171373
2025-01-31,1.6756948779822214,1.7186535708523591,2.338500378530104,1.0988067631746132
2025-02-28,1.2588025634694828,1.3361380483223517,1.9267249211429063,0.7455511755017963
2025-03-31,1.128639945566871,1.2462784824244857,1.8850702856410375,0.6074866792079334
2025-04-30,1.1991461563454608,1.3744448995700014,2.1512991115715137,0.5975906875684889
2025-05-31,1.511311364731186,1.616025957663467,2.389494319996781,0.8425575953301526
2025-06-30,1.5166103122658388,1.6374393484257161,2.446520836907001,0.8283578599444306
2025-07-31,1.9467349519646098,1.9374887849677018,2.643430885897815,1.2315466840375875
2025-08-31,2.066042955985928,1.9670963959592465,2.4716716133820977,1.4625211785363939
2025-09-30,2.064153169201397,1.9928872621081077,2.604561682477333,1.3812128417388805
2025-10-31,1.9490328582828953,1.891722605800022,2.5018023777595735,1.2816428338404688
2025-11-30,1.5620110113009786,1.5305195986143618,2.064226215691778,0.9968129815369444
2025-12-31,1.5305353698421555,1.493396609207552,1.9983338788056049,0.9884593396094977
2026-01-31,1.3181901293906726,1.3049753162033906,1.7953759115698007,0.8145747208369796
2026-02-28,1.091334327448306,1.0922771738503574,1.5299038782409542,0.6546504694597596
2026-03-31,1.1401941246886973,1.1296695548222915,1.558162107223167,0.701177002421415
2026-04-30,1.2486763751477683,1.2470665390003661,1.7424700072762336,0.7516630707244977
2026-05-31,1.1566757070531681,1.1739954965530817,1.6802508440993853,0.6677401490067774
2026-06-30,0.9131655904634319,0.9300701162488099,1.3372382547063815,0.5229019777912378
2026-07-31,1.0309218917772591,1.027085223750806,1.4344019862148492,0.619768461286762
2026-08-31,1.3280859221560832,1.307767090619606,1.7937206730601543,0.8218135081790571
2026-09-30,1.3073444232119205,1.2883918391465523,1.7695787749825627,0.8072049033105415
