date,Q1,Q2,Q3,Q4,BTC 단순보유
2022-10-31,1.0810554229509775,1.0594171944950557,1.0054016082177766,1.293938688837028,0.8376637485091248
2022-11-30,0.8904662423326157,0.8665622983343549,1.0402092333731034,0.8812541026818856,0.8073613881520543
2022-12-31,0.6953271673766923,0.7407299780245414,0.9215884247341243,0.6591979290817108,1.1289782878253483
2023-01-31,0.8971074705731191,0.9671104347893866,1.2805970342842727,1.1952444072932629,1.1293720427877854
2023-02-28,0.9025173645092505,1.0057476811111044,1.2542139856560286,1.1057961927984972,1.3894808342726153
2023-03-31,0.8932487476741547,1.1310828534862998,1.2812152473594238,1.1174598121592103,1.4280410900265645
2023-04-30,0.8870070596516159,1.11443923485921,1.2389119292378044,1.0941675928560446,1.3280620165971722
2023-05-31,0.8603245579853439,1.059826560727681,1.1602578830663275,0.9841003248018263,1.4870017980078976
2023-06-30,0.8402061910943939,1.1293911714913794,1.0774926968021368,0.8571585050264087,1.4261531245580743
2023-07-31,0.8906962534058642,1.1390826847836624,1.1532152591403337,0.9103763344598775,1.2652107389518956
2023-08-31,0.7121740283535196,0.9971011658239796,0.9261398447801832,0.7301486669069296,1.3157793775317248
2023-09-30,0.7222040859063661,1.1596925605000172,0.9389709123378451,0.7344226840794316,1.6914600151936818
2023-10-31,0.8286408308762362,1.803986060043331,1.1515862680451356,0.8308558917650584,1.8400255159314483
2023-11-30,0.8887728675954472,2.1484389239184476,1.3929929884355845,1.0974918257341078,2.062141622948939
2023-12-31,0.9015671131245468,2.625060907336458,1.9597632667773097,1.4539468335868762,2.077628619315187
2024-01-31,0.8698856966729726,2.4343290636474335,1.7745541416413415,1.5528148393688799,2.9859025812867674
2024-02-29,1.0649106753650028,3.3287305225278874,2.2094050866991357,1.9967296508001058,3.4804077365036017
2024-03-31,1.2882695009368188,3.5619924582927243,2.4861628533291933,2.7790767621064036,2.958505354953137
2024-04-30,0.8910211464992391,2.841820745569934,1.7354181235389117,2.033379153740524,3.2929430191209397
2024-05-31,1.1145111799082894,3.116665175011983,2.1233933432728196,2.109009563377699,3.058108207522969
2024-06-30,0.9477491278267468,2.9494913326395213,1.9170951240164198,1.807659371053882,3.152808563045963
2024-07-31,0.8949519072286461,2.908585765205417,1.8149510022258635,1.8210756888041104,2.8771736093455242
2024-08-31,0.7314056708674459,2.4776096368276037,1.7273930678768397,1.5574784540791862,3.0898809548767483
2024-09-30,0.7878720706377926,2.673491990694865,1.945408297471396,1.6380542843038592,3.4258374154122473
2024-10-31,0.8134138619649323,2.914417839569749,1.8364444802399256,1.4925773894124985,4.705802148994895
2024-11-30,1.162277960041641,5.724190089762456,3.698441473500607,3.6856960436897284,4.558461938989707
2024-12-31,0.9909952131583287,5.614196630766328,3.3298606552435817,3.000496244568907,4.9963971230348925
2025-01-31,1.1784555038292595,5.814690584474717,3.340082739832314,3.3227466748392875,4.1166052147184296
2025-02-28,0.8466018088966325,4.373707236018672,2.496511168723693,2.299984249356458,4.027606682627781
2025-03-31,0.7662278260588156,3.7578558080960347,2.2594866558425006,1.9278084817875263,4.596426321127944
2025-04-30,0.7896215464031707,4.215843223155279,2.2912104904552932,2.1575226847893627,5.105349845375892
2025-05-31,0.8263413385689732,4.465298542586853,2.6467595964439266,2.08126900774588,5.2271916580362
2025-06-30,0.813875629858707,4.138623782992838,2.516193023660797,1.9147863991956078,5.6479060659991225
2025-07-31,0.9942680634280125,4.9801850325976185,3.3484862009136105,2.1897768950171304,5.280928346888589
2025-08-31,0.993839909588867,5.358199874951147,3.8814179513797824,2.1706148773383496,5.56485883713067
2025-09-30,1.0070278360048979,5.579067248853191,3.650281487560954,2.2102389065919343,5.345305186778216
2025-10-31,0.8368650779813518,5.007289389640141,3.2642943627660714,1.6329626181770465,4.4103879648967235
2025-11-30,0.6865761080396474,4.066518808757389,2.4662823131562597,1.3286361134847962,4.2696036034868445
2025-12-31,0.6255763965006543,3.89224796114308,2.0922014601438352,1.1013220685405343,3.835967324055758
2026-01-31,0.5793615606193727,3.1752113762121508,1.8132821831078536,0.967782771673384,3.268764634781788
2026-02-28,0.496948405179324,2.7301797121795386,1.6724279120553776,0.893939736864182,3.329140649806227
2026-03-31,0.5218000362941657,2.69066280829762,1.6012478229054485,0.7875163424047079,3.722929536920529
2026-04-30,0.5517303816004256,2.739075043802852,1.6880365963670552,0.8036780878869091,3.589993211252775
2026-05-31,0.562677151207346,2.630989435851464,1.6378964664147915,0.7917473465795879,2.857118788591701
2026-06-30,0.456717967806406,2.033173295689906,1.3216599738206536,0.5364469095776939,3.0647170396030567
2026-07-31,0.4985805468790167,2.1363662083131776,1.1999879132098243,0.539347837252882,3.775248250496766
2026-08-31,0.5880791601702722,2.7535394599671523,1.4591663191218978,0.6475229913084091,
