ticker,signal,date,entry_price,fwd_1M,fwd_3M,fwd_6M,hit_1M,hit_3M,hit_6M
BTC-USD,death_cross,2025-04-07,79235.3359,18.99,33.69,48.23,False,False,False
BTC-USD,golden_cross,2025-05-22,111673.2812,-5.0,6.96,6.25,False,True,True
BTC-USD,death_cross,2025-11-16,94177.0781,-3.76,-5.1,-29.58,True,True,True
DOGE-USD,golden_cross,2022-11-11,0.0849,17.6,-1.47,-8.8,True,False,False
DOGE-USD,death_cross,2023-03-26,0.0744,22.89,-3.7,1.71,False,True,False
DOGE-USD,golden_cross,2023-11-22,0.0758,29.65,5.75,140.56,True,True,True
DOGE-USD,death_cross,2024-07-17,0.1219,-11.88,-9.71,218.02,True,True,False
DOGE-USD,golden_cross,2024-11-06,0.1967,104.42,73.37,-14.56,True,True,False
DOGE-USD,death_cross,2025-03-14,0.1718,-1.61,30.63,35.03,True,False,False
DOGE-USD,golden_cross,2025-08-12,0.2357,-6.41,-21.57,-43.8,False,False,False
DOGE-USD,death_cross,2025-11-10,0.1818,-19.71,-23.0,-50.44,True,True,True
DOT-USD,golden_cross,2021-12-31,26.7197,-31.77,-38.5,-67.27,False,False,False
DOT-USD,death_cross,2022-01-11,25.5439,-26.41,-25.65,-61.29,True,True,True
DOT-USD,golden_cross,2023-02-24,6.6144,-4.32,-14.31,-24.01,False,False,False
DOT-USD,death_cross,2023-05-29,5.4608,-14.5,-8.82,-26.49,True,True,True
DOT-USD,golden_cross,2023-12-02,5.5739,55.15,22.1,29.91,True,True,True
DOT-USD,death_cross,2024-05-19,6.9375,-6.2,-17.14,-30.73,True,True,True
DOT-USD,golden_cross,2024-12-02,9.9865,-24.34,-55.01,-63.29,False,False,False
DOT-USD,death_cross,2025-02-27,4.9261,-8.78,-20.41,-26.54,True,True,True
DOT-USD,golden_cross,2025-10-04,4.2015,-23.93,-45.45,-68.36,False,False,False
DOT-USD,death_cross,2025-10-13,3.3771,-25.57,-47.93,-61.14,True,True,True
ENS-USD,golden_cross,2022-09-01,13.4252,4.19,22.18,-6.74,True,True,False
ENS-USD,death_cross,2022-12-20,11.4122,9.71,37.86,2.01,False,False,False
ENS-USD,golden_cross,2023-02-21,16.4509,-23.34,-25.4,-43.22,False,False,False
ENS-USD,death_cross,2023-03-29,13.6046,-4.91,-25.94,-31.56,True,True,True
ENS-USD,golden_cross,2023-12-09,9.627,0.37,131.27,44.05,True,True,True
ENS-USD,death_cross,2024-05-19,14.3979,39.97,90.2,39.77,False,False,False
ENS-USD,golden_cross,2024-06-01,29.0707,-20.08,-40.17,-41.33,False,False,False
ENS-USD,death_cross,2024-09-05,16.5401,26.17,15.89,107.34,False,False,False
ENS-USD,golden_cross,2024-12-05,40.9791,-17.93,-39.2,-66.66,False,False,False
ENS-USD,death_cross,2025-03-15,17.1635,-23.35,29.31,66.3,True,False,False
ENS-USD,golden_cross,2025-07-28,28.8064,-16.47,-24.18,-61.82,False,False,False
ENS-USD,death_cross,2025-10-16,15.5075,-8.78,-38.28,-57.54,True,True,True
ETC-USD,golden_cross,2022-05-03,26.8434,-11.72,-41.74,42.96,False,False,True
ETC-USD,death_cross,2022-05-12,18.9455,15.31,1.26,47.33,False,False,False
ETC-USD,golden_cross,2022-08-20,32.8524,17.17,-24.69,-52.7,True,False,False
ETC-USD,death_cross,2022-11-02,22.9327,-11.87,-12.64,-11.67,True,True,True
ETC-USD,golden_cross,2023-11-24,19.2077,7.91,28.58,71.24,True,True,True
ETC-USD,death_cross,2024-06-29,23.1096,4.58,-23.61,-11.54,False,True,True
ETC-USD,golden_cross,2024-11-30,32.7419,-20.74,-36.79,-53.67,False,False,False
ETC-USD,death_cross,2025-03-01,19.0492,-6.59,-14.7,-4.1,True,True,True
ETC-USD,golden_cross,2025-08-05,20.1696,6.48,-28.73,-38.79,True,False,False
ETC-USD,death_cross,2025-10-24,15.9905,-4.33,-25.48,-45.91,True,True,True
ETH-USD,golden_cross,2021-12-31,3682.6328,-34.69,-32.17,-46.73,False,False,False
ETH-USD,death_cross,2022-01-28,2547.092,8.5,38.25,-29.73,False,False,True
ETH-USD,golden_cross,2023-02-09,1546.4382,1.47,37.09,22.28,True,True,True
ETH-USD,death_cross,2023-09-01,1628.4912,-2.13,16.66,60.86,True,False,False
ETH-USD,golden_cross,2023-11-21,1937.0668,16.7,17.04,80.95,True,True,True
ETH-USD,death_cross,2024-08-08,2683.3528,-5.87,-8.04,34.86,True,True,False
ETH-USD,golden_cross,2024-12-05,3811.0083,-12.65,-31.02,-58.59,False,False,False
ETH-USD,death_cross,2025-03-01,2216.6433,-9.53,-18.12,33.44,True,True,False
ETH-USD,golden_cross,2025-07-01,2405.7927,50.87,79.03,48.33,True,True,True
ETH-USD,death_cross,2025-11-30,2992.1125,0.47,-28.36,-23.62,False,True,True
GAS-USD,golden_cross,2023-02-11,3.1763,1.58,10.62,-19.45,True,True,False
GAS-USD,death_cross,2023-06-12,2.2665,16.88,-3.76,15.57,False,True,False
GAS-USD,golden_cross,2023-10-31,6.301,22.66,-4.13,18.16,True,False,True
GAS-USD,death_cross,2024-04-21,5.5815,-12.33,-34.84,-41.53,True,True,True
GAS-USD,golden_cross,2024-11-08,3.9451,55.23,28.39,-24.36,True,True,False
GAS-USD,death_cross,2025-02-28,3.3815,-12.13,-6.21,-10.06,True,True,True
GAS-USD,golden_cross,2025-08-19,3.228,2.67,-18.63,-35.72,True,False,False
GAS-USD,death_cross,2025-10-15,2.6449,-11.09,-30.66,-40.99,True,True,True
ID-USD,golden_cross,2023-04-24,0.0397,-25.14,-31.63,-70.62,False,False,False
ID-USD,death_cross,2023-05-22,0.0295,-9.24,26.82,-58.5,True,False,True
ID-USD,golden_cross,2023-12-03,0.0838,-54.41,-53.91,54.57,False,False,True
ID-USD,death_cross,2024-07-08,0.059,21.19,-33.97,-20.67,False,True,True
ID-USD,golden_cross,2025-09-05,0.0148,-16.28,-34.6,-51.85,False,False,False
ID-USD,death_cross,2025-10-20,0.011,-21.34,-34.55,-68.7,True,True,True
ID-USD,golden_cross,2025-11-08,0.2255,-97.01,-97.18,-98.36,False,False,False
ID-USD,death_cross,2025-12-01,0.0062,-7.17,-42.8,-86.58,True,True,True
LINK-USD,golden_cross,2023-02-27,7.2791,1.77,-3.87,-15.53,True,False,False
LINK-USD,death_cross,2023-06-05,6.0659,2.19,25.43,22.36,False,False,False
LINK-USD,golden_cross,2023-08-10,7.6084,-22.01,-2.45,86.97,False,False,True
LINK-USD,death_cross,2023-09-12,5.9594,28.86,129.63,144.07,False,False,False
LINK-USD,golden_cross,2023-10-14,7.3226,66.99,92.5,144.98,True,True,True
LINK-USD,death_cross,2024-05-10,13.5686,35.71,6.29,-17.42,False,False,True
LINK-USD,golden_cross,2024-11-29,18.2906,20.97,18.33,-33.98,True,True,False
LINK-USD,death_cross,2025-03-21,13.9591,-5.82,11.24,21.47,True,False,False
LINK-USD,golden_cross,2025-08-09,21.9304,5.9,-12.85,-42.86,True,False,False
LINK-USD,death_cross,2025-11-17,13.3061,8.35,-7.99,-36.83,False,True,True
LTC-USD,golden_cross,2021-12-31,146.5147,-25.99,-32.52,-56.04,False,False,False
LTC-USD,death_cross,2022-01-07,131.4884,-15.72,-19.63,-45.17,True,True,True
LTC-USD,golden_cross,2022-11-25,74.0289,-12.25,23.28,22.83,False,True,True
LTC-USD,death_cross,2023-06-20,80.3089,19.89,-18.92,-13.77,False,True,True
LTC-USD,golden_cross,2023-06-30,108.1653,-14.9,-41.1,-31.82,False,False,False
LTC-USD,death_cross,2023-08-20,65.2525,-9.83,5.28,12.35,True,False,False
LTC-USD,golden_cross,2024-02-23,68.8282,22.24,21.34,-5.1,True,True,False
LTC-USD,death_cross,2024-07-04,65.3157,9.21,-6.77,15.51,False,True,False
LTC-USD,golden_cross,2024-11-19,86.8205,35.37,36.71,-4.36,True,True,False
LTC-USD,death_cross,2025-04-11,76.2142,13.72,13.95,50.42,False,False,False
LTC-USD,golden_cross,2025-08-06,119.2952,-4.64,-21.69,-33.73,False,False,False
LTC-USD,death_cross,2025-11-12,97.5415,-14.33,-23.27,-42.2,True,True,True
MATIC-USD,golden_cross,2021-12-31,2.5271,-39.43,-43.95,-76.2,False,False,False
MATIC-USD,death_cross,2022-03-04,1.4749,9.21,-44.27,-52.03,False,True,True
MATIC-USD,golden_cross,2022-10-26,0.9381,-6.74,-19.15,22.54,False,False,True
MATIC-USD,death_cross,2023-05-18,0.8727,-16.61,-13.2,-42.31,True,True,True
MATIC-USD,golden_cross,2023-11-25,0.7793,5.09,2.64,13.55,True,True,True
MATIC-USD,death_cross,2024-05-04,0.7293,-1.81,-31.31,-47.57,True,True,True
MATIC-USD,golden_cross,2024-12-14,0.6012,-14.16,-49.77,,False,False,False
MATIC-USD,death_cross,2025-02-08,0.3086,-1.71,,,True,False,False
SAND-USD,golden_cross,2021-12-31,5.8477,-48.99,-52.39,-81.0,False,False,False
SAND-USD,death_cross,2022-03-30,3.5262,-21.69,-63.26,-63.34,True,True,True
SAND-USD,golden_cross,2023-03-02,0.6889,-8.43,-20.99,-38.53,False,False,False
SAND-USD,death_cross,2023-03-27,0.5951,17.92,-7.02,-32.01,False,True,True
SAND-USD,golden_cross,2023-12-07,0.464,23.92,0.74,-7.44,True,True,False
SAND-USD,death_cross,2024-05-15,0.4385,7.99,-21.12,-35.21,False,True,True
SAND-USD,golden_cross,2024-11-28,0.6171,-0.47,-33.66,-58.15,False,False,False
SAND-USD,death_cross,2025-03-08,0.2993,-9.76,21.89,8.07,True,False,False
SAND-USD,golden_cross,2025-08-26,0.2815,10.37,-28.26,-55.14,True,False,False
SAND-USD,death_cross,2025-10-10,0.1866,11.55,-36.11,-55.75,False,True,True
SOL-USD,golden_cross,2021-12-31,170.2991,-44.7,-51.77,-73.76,False,False,False
SOL-USD,death_cross,2022-02-04,112.1742,-19.64,-11.44,-73.27,True,True,True
SOL-USD,golden_cross,2023-04-16,25.3619,-18.55,-31.96,-20.04,False,False,False
SOL-USD,death_cross,2023-06-19,16.073,37.45,30.86,104.21,False,False,False
SOL-USD,golden_cross,2023-08-05,22.6322,-8.15,-2.33,219.76,False,False,True
SOL-USD,death_cross,2023-09-23,19.4739,12.57,198.83,415.77,False,False,False
SOL-USD,golden_cross,2023-10-22,29.0367,78.76,268.58,346.68,True,True,True
SOL-USD,death_cross,2024-09-06,124.9901,25.54,78.13,69.0,False,False,False
SOL-USD,golden_cross,2024-10-30,174.925,46.96,23.84,-28.39,True,True,False
SOL-USD,death_cross,2025-03-13,123.2861,-0.4,41.05,53.74,True,False,False
SOL-USD,golden_cross,2025-08-05,164.0964,23.66,14.97,-22.15,True,True,False
SOL-USD,death_cross,2025-11-22,127.5512,1.51,-0.39,-36.99,False,True,True
TRUMP-USD,golden_cross,2021-12-31,0.2704,-8.55,-80.88,-92.22,False,False,False
TRUMP-USD,death_cross,2022-02-16,0.0517,0.0,-17.87,-73.25,False,True,True
TRUMP-USD,golden_cross,2023-12-11,0.0007,79.88,269.15,306.26,True,True,True
TRUMP-USD,death_cross,2024-08-15,0.0041,-13.81,-27.98,-62.06,True,True,True
TRUMP-USD,golden_cross,2025-07-30,0.0008,4.6,-8.96,-33.46,True,False,False
TRUMP-USD,death_cross,2025-11-08,0.0006,-13.91,-13.91,,True,True,False
TRX-USD,golden_cross,2021-12-31,0.0754,-24.82,-22.17,-10.6,False,False,False
TRX-USD,death_cross,2022-01-08,0.0657,-10.63,-7.94,8.56,True,True,False
TRX-USD,golden_cross,2022-06-02,0.0842,-21.75,-17.32,-26.65,False,False,False
TRX-USD,death_cross,2022-07-27,0.0687,-1.78,-11.93,-21.85,True,True,True
TRX-USD,golden_cross,2022-08-09,0.0685,-7.4,-6.62,-21.68,False,False,False
TRX-USD,death_cross,2022-08-26,0.0616,1.04,2.69,-12.96,False,False,True
TRX-USD,golden_cross,2023-02-15,0.0708,-17.46,-6.7,5.07,False,False,True
TRX-USD,death_cross,2024-06-27,0.1219,10.6,27.75,33.34,False,False,False
TRX-USD,golden_cross,2024-07-14,0.1377,-11.69,8.57,54.09,False,True,True
TRX-USD,death_cross,2025-11-20,0.2802,-2.31,5.44,12.65,True,False,False
TRX-USD,golden_cross,2026-04-07,0.3155,2.41,-0.07,,True,False,False
XRP-USD,golden_cross,2022-10-23,0.469,-19.75,-23.99,-20.3,False,False,False
XRP-USD,death_cross,2022-12-24,0.3522,9.29,7.09,32.83,False,False,False
XRP-USD,golden_cross,2023-04-04,0.5035,-8.23,6.84,25.98,False,True,True
XRP-USD,death_cross,2023-09-30,0.5154,1.37,20.68,2.06,False,False,False
XRP-USD,golden_cross,2023-11-07,0.6864,-11.22,-16.91,-5.66,False,False,False
XRP-USD,death_cross,2024-01-30,0.5107,7.5,15.04,-2.76,False,False,True
XRP-USD,golden_cross,2024-03-17,0.6192,-0.6,-14.97,-3.62,False,False,False
XRP-USD,death_cross,2024-04-30,0.5001,5.29,-14.91,7.91,False,True,False
XRP-USD,golden_cross,2024-08-20,0.5944,-9.95,-15.56,246.14,False,False,True
XRP-USD,death_cross,2025-05-18,2.4342,-4.67,30.84,15.35,True,False,False
XRP-USD,golden_cross,2025-07-22,3.5517,-7.63,-21.56,-42.82,False,False,False
XRP-USD,death_cross,2025-11-08,2.2849,-5.42,-5.3,-36.74,True,True,True
ZETA-USD,golden_cross,2024-06-16,1.0354,-35.66,-49.48,-39.04,False,False,False
ZETA-USD,death_cross,2024-06-30,0.8408,-14.23,-47.02,-8.28,True,True,True
ZETA-USD,golden_cross,2024-12-08,0.9183,-38.54,-64.92,-74.41,False,False,False
ZETA-USD,death_cross,2025-01-22,0.475,-33.0,-40.08,-52.49,True,True,True
