ticker,signal,date,entry_price,fwd_1M,fwd_3M,fwd_6M,hit_1M,hit_3M,hit_6M
068270.KS,death_cross,2023-07-10,127955.7969,4.45,-4.05,22.78,False,True,False
068270.KS,golden_cross,2023-12-14,158326.9688,-4.54,3.22,0.81,False,True,True
068270.KS,death_cross,2024-11-29,161775.25,1.97,4.06,-4.91,False,False,True
068270.KS,golden_cross,2025-02-07,163783.5781,4.06,-14.25,-0.81,True,False,False
068270.KS,death_cross,2025-04-10,149739.7656,-6.52,14.2,11.85,True,False,False
068270.KS,golden_cross,2025-08-05,168627.7656,-4.95,10.29,40.35,False,True,True
105560.KS,golden_cross,2022-04-07,48230.7227,-2.23,-21.28,-19.24,False,False,False
105560.KS,death_cross,2022-07-05,39598.6172,1.69,-4.74,26.29,False,True,False
105560.KS,golden_cross,2023-01-11,49138.875,-6.03,-13.26,-13.69,False,False,False
105560.KS,death_cross,2023-05-03,42533.1289,0.21,8.39,14.64,False,False,False
105560.KS,golden_cross,2023-08-30,46815.5977,2.81,-1.41,46.3,True,False,True
105560.KS,death_cross,2025-03-07,74541.8906,-9.27,40.09,54.98,True,False,False
105560.KS,golden_cross,2025-05-29,99485.8906,10.52,8.17,24.64,True,True,True
207940.KS,golden_cross,2022-08-05,1376094.625,-9.39,0.67,-10.73,False,True,False
207940.KS,death_cross,2023-01-31,1220803.5,-0.76,-0.76,1.01,True,True,False
207940.KS,golden_cross,2024-02-07,1270004.75,0.24,-4.36,15.62,True,False,True
207940.KS,death_cross,2025-07-02,1551373.75,2.48,1.09,25.5,False,False,False
207940.KS,golden_cross,2025-07-30,1688214.5,-9.29,11.2,1.29,False,True,True
207940.KS,death_cross,2025-08-01,1589812.125,-2.13,18.09,9.2,True,False,False
207940.KS,golden_cross,2025-09-04,1563674.0,0.98,13.32,1.36,True,True,True
207940.KS,death_cross,2025-09-17,1568286.625,18.43,8.78,1.89,False,False,False
207940.KS,golden_cross,2025-10-29,1877331.375,-14.4,-6.84,-22.82,False,False,False
207940.KS,death_cross,2026-04-06,1555000.0,-5.34,,,True,False,False
247540.KQ,golden_cross,2022-05-04,127825.8594,-2.16,-4.73,-13.76,False,False,False
247540.KQ,death_cross,2022-10-13,104167.2812,10.51,-3.76,161.47,False,True,False
247540.KQ,golden_cross,2023-02-27,166717.625,35.79,54.38,73.26,True,True,True
247540.KQ,death_cross,2023-11-17,237882.4688,33.61,1.68,-19.66,False,False,True
247540.KQ,golden_cross,2024-01-12,303849.875,-18.42,-25.16,-42.76,False,False,False
247540.KQ,death_cross,2024-02-19,243879.5,13.11,-18.61,-31.02,False,True,True
247540.KQ,golden_cross,2025-09-01,119840.7891,-3.0,49.71,49.37,False,True,True
360200.KS,golden_cross,2022-04-08,13377.6348,-7.81,-7.2,-1.05,False,False,False
360200.KS,death_cross,2022-05-31,12490.9531,-3.91,4.67,0.16,True,False,False
360200.KS,golden_cross,2022-09-14,13299.7559,-2.91,-7.98,-4.43,False,False,False
360200.KS,death_cross,2022-12-28,11844.2148,3.0,10.93,19.91,False,False,False
360200.KS,golden_cross,2023-04-06,13168.1172,1.5,8.88,8.53,True,True,True
360200.KS,death_cross,2025-05-08,19668.2969,4.68,12.32,25.27,False,False,False
360200.KS,golden_cross,2025-07-14,21391.0684,3.65,12.53,17.53,True,True,True
466950.KS,golden_cross,2024-08-01,14288.458,-6.84,16.17,20.01,False,True,True
466950.KS,death_cross,2025-04-21,13674.8125,18.93,47.79,78.84,False,False,False
466950.KS,golden_cross,2025-07-09,18085.0781,12.8,30.57,38.24,True,True,True
476760.KS,golden_cross,2025-01-09,9430.8408,1.89,0.01,-4.33,True,True,False
476760.KS,death_cross,2025-05-20,9070.1289,-0.65,0.85,10.91,True,False,False
476760.KS,golden_cross,2025-10-20,9916.3535,1.06,0.2,-1.15,True,True,False
AAPL,golden_cross,2022-03-28,171.8918,-6.81,-20.77,-16.39,False,False,False
AAPL,death_cross,2022-06-03,142.5191,0.67,6.39,-0.31,False,False,True
AAPL,golden_cross,2022-09-26,148.0083,-0.94,-13.89,8.96,False,False,True
AAPL,death_cross,2022-10-07,137.5239,-0.26,-4.61,20.04,True,True,False
AAPL,golden_cross,2023-03-22,155.433,4.75,19.32,8.77,True,True,True
AAPL,death_cross,2024-03-14,171.2819,-2.09,24.04,31.24,True,False,False
AAPL,golden_cross,2024-06-13,212.4001,6.83,3.13,19.06,True,True,True
AAPL,death_cross,2025-04-07,180.5063,8.83,15.12,37.74,False,False,False
AAPL,golden_cross,2025-09-15,236.0322,5.34,14.96,6.93,True,True,True
ADBE,golden_cross,2023-03-21,374.22,0.92,28.14,34.86,True,True,True
ADBE,death_cross,2024-04-10,487.22,-1.01,16.28,1.97,True,False,False
ADBE,golden_cross,2024-08-27,567.82,-9.22,-9.14,-23.38,False,False,False
ADBE,death_cross,2024-10-25,483.72,8.6,-9.33,-20.62,False,True,True
AMD,golden_cross,2023-03-16,96.6,-7.06,16.06,0.81,False,True,True
AMD,death_cross,2024-08-14,140.75,8.05,-4.16,-26.14,False,True,True
AMD,golden_cross,2025-07-16,160.08,10.89,45.6,62.22,True,True,True
AMZN,golden_cross,2023-05-26,120.11,6.49,14.9,22.29,True,True,True
AMZN,death_cross,2025-04-22,173.18,17.28,34.42,32.98,False,False,False
AMZN,golden_cross,2025-07-08,219.36,1.72,3.82,7.88,True,True,True
AMZN,death_cross,2026-03-11,212.65,12.81,,,False,False,False
AMZN,golden_cross,2026-05-06,274.99,-10.83,,,False,False,False
AVGO,golden_cross,2022-03-28,58.8979,-8.52,-23.87,-22.12,False,False,False
AVGO,death_cross,2022-06-22,46.5514,3.43,-6.04,14.33,False,True,False
AVGO,golden_cross,2023-01-06,56.1428,2.26,6.85,55.11,True,True,True
AVGO,death_cross,2025-05-05,199.1067,29.5,52.3,76.06,False,False,False
AVGO,golden_cross,2025-05-15,230.7702,7.19,25.45,46.83,True,True,True
AVGO,death_cross,2026-03-31,309.51,36.11,,,False,False,False
AVGO,golden_cross,2026-04-17,406.54,1.11,,,True,False,False
BRK-B,golden_cross,2022-03-28,359.57,-7.87,-22.82,-22.31,False,False,False
BRK-B,death_cross,2022-06-30,273.02,7.01,2.74,15.57,False,False,False
BRK-B,golden_cross,2022-12-28,303.43,2.67,1.86,13.16,True,True,True
BRK-B,death_cross,2025-08-04,459.11,10.41,6.46,8.91,False,False,False
BRK-B,golden_cross,2025-10-21,491.29,2.0,-3.38,-3.72,True,False,False
BRK-B,death_cross,2025-10-29,475.76,6.89,5.9,0.8,False,False,False
BRK-B,golden_cross,2026-01-02,496.85,1.4,-2.34,,True,False,False
BRK-B,death_cross,2026-03-26,475.27,0.61,,,False,False,False
COST,golden_cross,2022-03-28,538.168,-0.41,-13.92,-14.73,False,False,False
COST,death_cross,2022-06-17,426.0105,18.53,9.25,3.01,False,False,False
COST,golden_cross,2022-09-02,495.9323,-7.47,-6.99,-6.11,False,False,False
COST,death_cross,2022-10-12,445.5567,10.73,2.99,10.05,False,False,False
COST,golden_cross,2023-05-26,487.3457,4.82,8.49,19.78,True,True,True
COST,death_cross,2025-08-20,990.3729,-5.16,-9.48,1.11,True,True,False
COST,golden_cross,2026-03-04,1005.2813,1.17,-3.04,,True,False,False
CRM,golden_cross,2023-03-13,172.5252,10.55,20.75,21.38,True,True,True
CRM,death_cross,2024-07-10,249.0057,-0.02,14.24,28.84,True,False,False
CRM,golden_cross,2024-10-31,287.6864,13.75,11.95,0.05,True,True,True
CRM,death_cross,2025-04-14,252.014,14.23,3.2,1.16,False,False,False
DIS,golden_cross,2023-03-10,91.4172,4.67,-1.2,-12.43,True,False,False
DIS,death_cross,2023-04-12,95.6866,-6.08,-12.24,-15.0,True,True,True
DIS,golden_cross,2024-01-03,89.8332,5.46,28.72,6.18,True,True,True
DIS,death_cross,2024-07-25,87.845,2.88,7.84,27.57,False,False,False
DIS,golden_cross,2024-12-06,114.9439,-6.51,-14.5,1.22,False,False,True
DIS,death_cross,2025-04-22,85.1483,29.09,40.42,28.6,False,False,False
DIS,golden_cross,2025-06-20,116.3433,4.96,-3.16,-1.85,True,False,False
DIS,death_cross,2025-12-11,110.7109,2.55,-10.4,,False,True,False
GOOGL,golden_cross,2023-05-03,104.4835,19.54,24.66,23.56,True,True,True
GOOGL,death_cross,2025-04-08,144.1139,5.56,25.93,74.15,False,False,False
GOOGL,golden_cross,2025-07-23,189.6888,8.34,36.76,77.95,True,True,True
HD,golden_cross,2022-12-07,292.4761,0.15,-9.4,-4.49,True,False,False
HD,death_cross,2023-04-14,268.866,-3.37,9.99,-1.11,True,False,True
HD,golden_cross,2023-07-19,296.094,2.47,-9.78,12.67,True,False,True
HD,death_cross,2023-11-10,271.9713,18.56,25.1,14.82,False,False,False
HD,golden_cross,2023-12-14,330.3429,1.73,13.01,-1.58,True,True,False
HD,death_cross,2025-04-08,324.5408,8.19,7.64,16.93,False,False,False
HD,golden_cross,2025-09-02,395.787,-2.23,-12.52,-15.0,False,False,False
HD,death_cross,2025-12-09,340.4236,8.59,-0.45,,False,True,False
INTC,golden_cross,2023-05-04,30.616,-0.9,10.13,25.25,False,True,True
INTC,death_cross,2024-05-03,30.581,0.02,-33.0,-18.09,False,True,True
INTC,golden_cross,2025-08-15,24.56,1.38,39.78,90.88,True,True,True
JNJ,golden_cross,2022-03-28,157.4396,3.17,1.6,-5.93,True,True,False
JNJ,death_cross,2022-09-09,148.6442,-1.8,8.84,-5.86,True,False,True
JNJ,golden_cross,2022-12-13,161.7915,-3.82,-13.51,-7.34,False,False,False
JNJ,death_cross,2023-02-24,141.8231,-2.66,0.17,4.55,True,False,False
JNJ,golden_cross,2023-08-10,157.7348,-4.3,-13.63,-6.2,False,False,False
JNJ,death_cross,2023-10-26,137.4986,2.58,7.13,1.38,False,False,False
JNJ,golden_cross,2024-02-12,146.8319,1.63,-1.52,3.88,True,False,True
JNJ,death_cross,2024-04-12,138.2649,2.62,6.21,12.12,False,False,False
JNJ,golden_cross,2024-08-19,150.8245,4.03,-3.36,5.84,True,False,True
JNJ,death_cross,2024-12-31,138.7844,6.13,4.55,9.08,False,False,False
JNJ,golden_cross,2025-03-12,157.5297,-6.83,-3.87,9.92,False,False,True
JNJ,death_cross,2025-06-02,151.6118,0.39,15.66,30.44,False,False,False
JNJ,golden_cross,2025-07-09,152.4704,10.91,22.93,42.43,True,True,True
JPM,golden_cross,2022-12-02,124.3294,0.88,-0.39,6.28,True,False,True
JPM,death_cross,2026-03-27,281.3999,9.9,,,False,False,False
JPM,golden_cross,2026-06-05,312.37,,,,False,False,False
KO,golden_cross,2022-03-28,54.9947,6.9,4.72,-7.85,True,True,False
KO,death_cross,2022-10-07,49.1188,9.34,13.09,18.55,False,False,False
KO,golden_cross,2022-12-28,57.689,-3.54,-1.39,-4.93,False,False,False
KO,death_cross,2023-03-10,53.7323,6.69,3.58,0.56,False,False,False
KO,golden_cross,2023-04-17,58.0309,-0.49,-0.86,-10.95,False,False,False
KO,death_cross,2023-08-30,55.7178,-7.52,-1.6,1.21,True,True,False
KO,golden_cross,2024-01-29,55.9143,0.49,4.61,16.43,True,True,True
KO,death_cross,2024-12-26,60.3618,2.37,17.82,13.13,False,False,False
KO,golden_cross,2025-03-12,67.4717,2.88,2.3,-2.9,True,True,False
KO,death_cross,2025-10-09,65.457,6.25,8.4,14.12,False,False,False
KO,golden_cross,2025-12-05,69.522,-0.9,11.25,,False,True,False
MA,golden_cross,2022-03-28,341.7242,8.24,-9.08,-12.95,True,False,False
MA,death_cross,2022-04-14,349.355,-5.3,-2.9,-14.33,True,True,True
MA,golden_cross,2022-06-03,349.355,-9.29,-7.61,0.41,False,False,True
MA,death_cross,2022-06-13,312.1759,4.17,-1.29,7.6,False,True,False
MA,golden_cross,2022-12-27,339.035,7.38,6.04,13.81,True,True,True
MA,death_cross,2025-12-01,542.2223,3.52,-4.68,-10.27,False,True,True
META,golden_cross,2023-03-02,173.171,22.08,55.34,76.22,True,True,True
META,death_cross,2025-05-06,585.4835,18.8,30.5,3.84,False,False,False
META,golden_cross,2025-06-16,700.4749,0.31,10.86,-5.15,True,True,False
META,death_cross,2025-12-10,649.0445,-2.85,-5.14,,True,True,False
MSFT,golden_cross,2023-03-20,265.3575,5.1,23.33,15.39,True,True,True
MSFT,death_cross,2024-11-29,418.4955,-1.15,-10.05,13.52,True,True,False
MSFT,golden_cross,2024-12-11,443.7261,-5.05,-13.67,10.06,False,False,True
MSFT,death_cross,2025-02-26,395.8358,-5.24,15.78,24.26,True,False,False
MSFT,golden_cross,2025-06-09,469.0038,6.47,8.04,1.12,True,True,True
MSFT,death_cross,2026-01-22,449.1399,-13.58,-4.63,,True,True,False
NFLX,golden_cross,2022-11-23,29.15,-2.51,6.99,36.98,False,True,True
NFLX,death_cross,2025-12-05,100.24,-9.69,-4.92,,True,True,False
NVDA,golden_cross,2022-03-28,28.1349,-29.9,-48.52,-53.17,False,False,False
NVDA,death_cross,2022-04-20,21.418,-22.29,-23.02,-38.63,True,True,True
NVDA,golden_cross,2023-01-24,19.2223,20.87,44.06,131.13,True,True,True
NVDA,death_cross,2025-03-20,118.3641,-16.57,30.2,53.44,True,False,False
NVDA,golden_cross,2025-06-27,157.5402,13.64,18.7,18.71,True,True,True
ORCL,golden_cross,2022-12-08,76.6803,11.07,6.33,53.7,True,True,True
ORCL,death_cross,2024-02-01,112.7552,-3.97,2.41,15.45,True,False,False
ORCL,golden_cross,2024-03-14,122.515,-3.6,15.6,33.0,False,True,True
ORCL,death_cross,2025-04-07,125.4463,18.62,81.34,140.55,False,False,False
ORCL,golden_cross,2025-06-30,216.4583,16.32,32.37,-11.46,True,True,False
ORCL,death_cross,2026-01-08,188.4917,-15.47,-9.91,,True,True,False
PEP,golden_cross,2022-03-28,144.336,7.1,2.92,1.54,True,True,True
PEP,death_cross,2023-10-04,153.1939,-1.26,-0.28,0.35,True,True,False
PEP,golden_cross,2024-05-01,161.2861,-2.24,-0.74,-4.91,False,False,False
PEP,death_cross,2024-11-22,151.4982,-5.1,-4.01,-17.44,True,True,True
PEP,golden_cross,2025-09-08,137.6465,-2.03,6.67,10.39,False,True,True
