ticker,name
BTC-USD,비트코인
ETH-USD,이더리움
BNB-USD,바이낸스코인
SOL-USD,솔라나
XRP-USD,리플
ADA-USD,에이다(카르다노)
DOGE-USD,도지코인
AVAX-USD,아발란체
DOT-USD,폴카닷
LINK-USD,체인링크
MATIC-USD,폴리곤
LTC-USD,라이트코인
TRX-USD,트론
ATOM-USD,코스모스
