ticker,per,forward_per,pbr,dividend_yield_pct,market_cap,roe_pct,profit_margin_pct,revenue_growth_yoy_pct,earnings_growth_yoy_pct,eps_growth_q_pct,consensus_target,analyst_count,recommendation_mean,sector,industry,currency
KLAC,59.80682,41.02624,47.191216,0.43,274997051392.0,94.975996,35.661998,11.5,11.799999999999999,10.299999999999999,234.0357,28.0,1.96552,Technology,Semiconductor Equipment & Materials,USD
LRCX,57.80492,37.459145,36.059784,0.33,381686775808.0,66.762,30.938998,23.799999999999997,40.8,37.2,372.32257,31.0,1.48571,Technology,Semiconductor Equipment & Materials,USD
QCOM,17.934479,15.217231,6.4822583,2.1,175986376704.0,36.083,22.308001,-3.5000000000000004,173.0,162.1,221.23334,30.0,2.55556,Technology,Semiconductors,USD
ASML,60.526695,30.240738,1581.4578,0.5,674898247680.0,53.942,30.114,21.3,28.499999999999996,27.400000000000002,2110.4458,15.0,1.40909,Technology,Semiconductor Equipment & Materials,USD
TER,65.04089,34.0262,17.423693,0.14,54777233408.0,28.749999999999996,22.553,87.0,314.8,303.4,429.88235,17.0,1.76471,Technology,Semiconductor Equipment & Materials,USD
FORM,119.586205,37.273624,7.6601386,,8110414336.0,6.751,8.1379995,32.0,225.0,218.5,144.66667,9.0,2.0,Technology,Semiconductor Equipment & Materials,USD
AMKR,37.333332,25.30472,3.5510852,0.51,16101797888.0,10.005999000000001,6.1680003999999995,27.500000000000004,285.59999999999997,294.5,77.88889,9.0,2.2,Technology,Semiconductor Equipment & Materials,USD
ASX,58.476192,18.935617,7.471795,1.06,80824967168.0,13.577,7.043000000000001,17.2,87.6,87.3,42.47134,2.0,1.0,Technology,Semiconductors,USD
SNDK,49.012627,6.7461295,15.432281,,212739833856.0,39.297,34.185,250.99999999999997,,,2217.7727,22.0,1.6087,Technology,Computer Hardware,USD
ARM,305.89413,84.532455,33.390266,,277711159296.0,11.9540006,18.374,20.1,47.9,49.0,300.73026,37.0,1.95,Technology,Semiconductors,USD
005930.KS,20.17,3.82406,3.47,0.6,1638357553643520.0,18.855,21.459,69.19999999999999,492.1,486.7,492536.72,36.0,1.35135,Technology,Consumer Electronics,KRW
000660.KS,16.99,3.899033,7.58,0.17,1248634771341312.0,61.172000000000004,56.88999999999999,198.10000000000002,396.6,397.5,3408502.2,37.0,1.35135,Technology,Semiconductors,KRW
035420.KS,18.01,13.874758,1.05,1.2,31037803462656.0,5.72,14.521999999999998,16.3,-32.2,-32.800000000000004,301962.97,27.0,1.66667,Communication Services,Internet Content & Information,KRW
005380.KS,12.36,8.248748,0.88,2.31,104995466772480.0,7.539999999999999,4.5920000000000005,3.4000000000000004,-43.1,-26.0,726939.6,31.0,1.64516,Consumer Cyclical,Auto Manufacturers,KRW
000270.KS,7.34,5.4872174,0.82,4.54,50719612731392.0,11.885,6.0539998,5.3,-22.5,-23.5,232733.33,30.0,1.36667,Consumer Cyclical,Auto Manufacturers,KRW
005490.KS,30.79,10.510685,0.42,2.94,23669302624256.0,1.125,1.1829999,2.5,54.50000000000001,54.6,484800.0,20.0,1.55,Basic Materials,Steel,KRW
051910.KS,,11.493369,0.58,0.74,20273252270080.0,-5.933999999999999,-4.518,-2.6,,,430800.0,25.0,1.72,Basic Materials,Chemicals,KRW
006400.KS,,24.34817,1.49,,33680873488384.0,-2.5710002,-3.344,12.6,,,727048.4,31.0,1.96774,Industrials,Electrical Equipment & Parts,KRW
035720.KS,32.58,20.63548,1.39,0.2,15952756342784.0,3.85,5.924,11.1,-0.3,-0.1,64185.184,27.0,1.55556,Communication Services,Internet Content & Information,KRW
207940.KS,49.32,30.897806,8.86,,70269666328576.0,18.25,39.007999999999996,25.8,25.1,24.9,2020333.4,24.0,1.375,Healthcare,Biotechnology,KRW
068270.KS,33.98,24.34881,2.31,0.4,40728512167936.0,7.255000000000001,28.375,36.0,224.29999999999998,218.5,256664.69,24.0,1.54167,Healthcare,Biotechnology,KRW
105560.KS,10.84,8.639242,1.03,2.69,60214699098112.0,9.991,36.583,15.2,16.8,11.5,210395.0,20.0,1.4,Financial Services,Banks - Regional,KRW
055550.KS,9.96,7.752543,0.84,2.66,49158236930048.0,8.635,31.95,6.6000000000000005,14.000000000000002,9.0,128950.0,20.0,1.4,Financial Services,Banks - Regional,KRW
