Date,sma111,sma350x2
2022-03-28,42673.9819115991,
2022-03-29,42646.60293496621,
2022-03-30,42641.11233108108,
2022-03-31,42625.755313907655,
2022-04-01,42597.99978885135,
2022-04-02,42559.89720579955,
2022-04-03,42557.3394214527,
2022-04-04,42557.42989864865,
2022-04-05,42527.33322775901,
2022-04-06,42487.16487190315,
2022-04-07,42462.8558910473,
2022-04-08,42421.76478040541,
2022-04-09,42386.40551097973,
2022-04-10,42344.30996621621,
2022-04-11,42259.49275056306,
2022-04-12,42182.9042088964,
2022-04-13,42096.25728462838,
2022-04-14,41998.179089245496,
2022-04-15,41909.20256193694,
2022-04-16,41815.64372184685,
2022-04-17,41717.23412865991,
2022-04-18,41656.30943834459,
2022-04-19,41611.78726773649,
2022-04-20,41559.50126689189,
2022-04-21,41507.43746480856,
2022-04-22,41435.84744510135,
2022-04-23,41365.05025337838,
2022-04-24,41302.08787302928,
2022-04-25,41253.085480011265,
2022-04-26,41203.972480292796,
2022-04-27,41168.65888935811,
2022-04-28,41152.58614864865,
2022-04-29,41124.440948761265,
2022-04-30,41086.63260135135,
2022-05-01,41056.43288992117,
2022-05-02,41018.53624718468,
2022-05-03,40962.69256756757,
2022-05-04,40936.62770974099,
2022-05-05,40877.84790259009,
2022-05-06,40813.55532094595,
2022-05-07,40744.97941300676,
2022-05-08,40671.184051238735,
2022-05-09,40562.367117117115,
2022-05-10,40465.77773085586,
2022-05-11,40359.97536599099,
2022-05-12,40293.222533079956,
2022-05-13,40241.446438626124,
2022-05-14,40185.810951576575,
2022-05-15,40137.61982685811,
2022-05-16,40073.73616976351,
2022-05-17,40015.84190244933,
2022-05-18,39940.00439893018,
2022-05-19,39872.7071192286,
2022-05-20,39792.18964667793,
2022-05-21,39715.74482685811,
2022-05-22,39642.23669763513,
2022-05-23,39555.350541948195,
2022-05-24,39489.60821368243,
2022-05-25,39421.20965301239,
2022-05-26,39310.99658643018,
2022-05-27,39195.55884009009,
2022-05-28,39073.05854096284,
2022-05-29,38943.37990920608,
2022-05-30,38831.739776886265,
2022-05-31,38718.70836852478,
2022-06-01,38594.690051379504,
2022-06-02,38487.11843679617,
2022-06-03,38374.14475999437,
2022-06-04,38262.751953125,
2022-06-05,38148.51541385135,
2022-06-06,38029.55567286036,
2022-06-07,37914.18287232545,
2022-06-08,37821.17696016329,
2022-06-09,37731.81679335586,
2022-06-10,37632.37218468468,
2022-06-11,37541.64634360923,
2022-06-12,37448.73974169482,
2022-06-13,37306.40966356982,
2022-06-14,37170.465723536036,
2022-06-15,37028.4858178491,
2022-06-16,36858.82303983671,
2022-06-17,36690.95217483108,
2022-06-18,36522.55449394707,
2022-06-19,36318.590864301805,
2022-06-20,36104.580957911036,
2022-06-21,35895.450151323195,
2022-06-22,35693.06492820946,
2022-06-23,35530.43674338401,
2022-06-24,35366.75269214527,
2022-06-25,35214.34146255631,
2022-06-26,35060.875299127256,
2022-06-27,34898.69700168919,
2022-06-28,34703.18086641329,
2022-06-29,34529.00575380067,
2022-06-30,34357.7422754786,
2022-07-01,34180.853586007885,
2022-07-02,34013.21927787162,
2022-07-03,33829.70866765203,
2022-07-04,33657.568816863735,
2022-07-05,33468.79571368243,
2022-07-06,33284.98370636261,
2022-07-07,33103.32993735923,
2022-07-08,32919.00980081644,
2022-07-09,32741.93216849662,
2022-07-10,32559.792106559686,
2022-07-11,32358.096143018018,
2022-07-12,32145.762422578828,
2022-07-13,31931.808734515766,
2022-07-14,31717.58521607545,
2022-07-15,31504.391522381757,
2022-07-16,31273.48903786599,
2022-07-17,31036.113721143018,
2022-07-18,30811.068306587837,
2022-07-19,30597.795960022522,
2022-07-20,30396.83250633446,
2022-07-21,30188.571104307433,
2022-07-22,29979.97677364865,
2022-07-23,29763.867873733107,
2022-07-24,29547.529930320947,
2022-07-25,29329.563344594593,
2022-07-26,29131.66258445946,
2022-07-27,28946.317549971845,
2022-07-28,28780.157393721845,
2022-07-29,28609.188890061938,
2022-07-30,28442.05857615428,
2022-07-31,28296.247712556305,
2022-08-01,28144.779384853602,
2022-08-02,27980.918003941442,83319.24368303572
2022-08-03,27826.962978603602,83193.78837053571
2022-08-04,27665.498944256757,83056.15053571429
2022-08-05,27511.128044059686,82907.29418526786
2022-08-06,27360.17602759009,82759.04154017857
2022-08-07,27201.164097691442,82609.6371875
2022-08-08,27041.765325872748,82462.570546875
2022-08-09,26877.71072635135,82322.33169642858
2022-08-10,26728.343873170044,82179.39943080358
2022-08-11,26586.156566722973,82048.05834821428
2022-08-12,26450.265466638513,81907.16777901785
2022-08-13,26314.72290259009,81767.29158482143
2022-08-14,26169.326734938062,81627.23159598214
2022-08-15,26043.376390061938,81496.27152901786
2022-08-16,25905.01756052928,81363.22354910715
2022-08-17,25756.929001266893,81217.44623883929
2022-08-18,25618.21651534347,81068.21775669642
2022-08-19,25466.528927364863,80901.65877232143
