Date,Open,High,Low,Close,Volume,ma50,ma200,sma20w,ema21w,rsi14,state,signal
2025-07-21,1.5554194708210742,1.5554194708210742,1.5554194708210742,1.5554194708210742,59268569.03786194,,,,1.5554194708210742,,bear,hold
2025-07-22,1.5670247793292078,1.5670247793292078,1.5670247793292078,1.5670247793292078,46135843.623976775,,,,1.5555762993144275,,bear,hold
2025-07-23,1.5487768587470112,1.5487768587470112,1.5487768587470112,1.5487768587470112,41928820.05581529,,,,1.5554844149824354,,bear,hold
2025-07-24,1.4183146430833342,1.4183146430833342,1.4183146430833342,1.4183146430833342,45045194.42222107,,,,1.5536307694162315,,bear,hold
2025-07-25,1.3731243839778946,1.3731243839778946,1.3731243839778946,1.3731243839778946,34105842.039012656,,,,1.5511914939373352,,bear,hold
2025-07-26,1.3986827360970597,1.3986827360970597,1.3986827360970597,1.3986827360970597,26911924.104225535,,,,1.5491305647773317,,bear,hold
2025-07-27,1.3889217124421953,1.3889217124421953,1.3889217124421953,1.3889217124421953,12883656.593293631,,,,1.5469655802863165,,bear,hold
2025-07-28,1.4193132854273895,1.4193132854273895,1.4193132854273895,1.4193132854273895,17508939.963940583,,,,1.5452405492747092,,bear,hold
2025-07-29,1.337445928420641,1.337445928420641,1.337445928420641,1.337445928420641,23010556.936630998,,,,1.5424325138577624,,bear,hold
2025-07-30,1.3321944122991933,1.3321944122991933,1.3321944122991933,1.3321944122991933,22848944.942189995,,,,1.5395914584312953,,bear,hold
2025-07-31,1.3070734207013994,1.3070734207013994,1.3070734207013994,1.3070734207013994,26052224.42984868,,,,1.5364493227862968,,bear,hold
2025-08-01,1.2505010216166983,1.2505010216166983,1.2505010216166983,1.2505010216166983,19474241.35907956,,,,1.5325851565542752,,bear,hold
2025-08-02,1.2103996547133196,1.2103996547133196,1.2103996547133196,1.2103996547133196,29440335.357101455,,,,1.5282312984212894,,bear,hold
2025-08-03,1.1954881914684603,1.1954881914684603,1.1954881914684603,1.1954881914684603,16050254.95046811,,,,1.5237347699489538,12.027181825566572,bear,hold
2025-08-04,1.2318659241605396,1.2318659241605396,1.2318659241605396,1.2318659241605396,10882146.70449686,,,,1.5197905963572185,21.646627527799495,bear,hold
2025-08-05,1.264951378137344,1.264951378137344,1.264951378137344,1.264951378137344,15161369.115866607,,,,1.516346823138031,29.22644437661218,bear,hold
2025-08-06,1.2186517308116278,1.2186517308116278,1.2186517308116278,1.2186517308116278,16168784.449339494,,,,1.5123239164849716,25.507690582066587,bear,hold
2025-08-07,1.233655762201046,1.233655762201046,1.233655762201046,1.233655762201046,15258210.667503858,,,,1.5085581306162699,28.674914080739327,bear,hold
2025-08-08,1.274520315595063,1.274520315595063,1.274520315595063,1.274520315595063,18933380.820053987,,,,1.5053954574403077,36.583405781526594,bear,hold
2025-08-09,1.294038251331913,1.294038251331913,1.294038251331913,1.294038251331913,20445796.317042448,,,,1.5025392789793834,40.00507247930161,bear,hold
2025-08-10,1.3634315909010253,1.3634315909010253,1.3634315909010253,1.3634315909010253,30497674.368506216,,,,1.5006594453567028,50.27717159618509,bear,hold
2025-08-11,1.3573241892236587,1.3573241892236587,1.3573241892236587,1.3573241892236587,26025030.45980284,,,,1.498722482435986,49.47429706827437,bear,hold
2025-08-12,1.2807013590691874,1.2807013590691874,1.2807013590691874,1.2807013590691874,29321679.3149168,,,,1.4957762510391375,40.69425939713348,bear,hold
2025-08-13,1.3546177541266777,1.3546177541266777,1.3546177541266777,1.3546177541266777,34988630.28293957,,,,1.4938687037835636,49.92622813884261,bear,hold
2025-08-14,1.3948310522935983,1.3948310522935983,1.3948310522935983,1.3948310522935983,42983129.98091636,,,,1.4925303571418074,54.111423867003886,bear,hold
2025-08-15,1.2882818292845342,1.2882818292845342,1.2882818292845342,1.2882818292845342,48987076.68471965,,,,1.489770241900493,43.69143892537924,bear,hold
2025-08-16,1.2857662040720417,1.2857662040720417,1.2857662040720417,1.2857662040720417,56258600.26574769,,,,1.4870134305784868,43.478559537987145,bear,hold
2025-08-17,1.3129092021861832,1.3129092021861832,1.3129092021861832,1.3129092021861832,34288794.077124,,,,1.4846606707353476,46.50707747851444,bear,hold
2025-08-18,1.3049241476878557,1.3049241476878557,1.3049241476878557,1.3049241476878557,20855087.734608904,,,,1.4822317988022733,45.7307762841459,bear,hold
2025-08-19,1.2570396093216603,1.2570396093216603,1.2570396093216603,1.2570396093216603,26103167.725296225,,,,1.4791886611065894,41.28076561444089,bear,hold
2025-08-20,1.214459557009104,1.214459557009104,1.214459557009104,1.214459557009104,26331691.571354896,,,,1.4756112407809476,37.761905898814376,bear,hold
2025-08-21,1.2690217795508032,1.2690217795508032,1.2690217795508032,1.2690217795508032,23222822.359108835,,,,1.4728194913048647,44.312524116440954,bear,hold
2025-08-22,1.2442757452382336,1.2442757452382336,1.2442757452382336,1.2442757452382336,18993669.0581194,,,,1.469731062303964,42.1459189569861,bear,hold
2025-08-23,1.3311439799674416,1.3311439799674416,1.3311439799674416,1.3311439799674416,34773280.27286872,,,,1.467858263894011,51.17135206462182,bear,hold
2025-08-24,1.3025570378743567,1.3025570378743567,1.3025570378743567,1.3025570378743567,20282789.818344377,,,,1.465624463542394,48.49044586690439,bear,hold
2025-08-25,1.2788465806340605,1.2788465806340605,1.2788465806340605,1.2788465806340605,26639069.682643738,,,,1.4631004380976869,46.322713659589866,bear,hold
2025-08-26,1.1832258562730265,1.1832258562730265,1.1832258562730265,1.1832258562730265,28408571.57893122,,,,1.4593183491541104,38.79124091116393,bear,hold
2025-08-27,1.2378497601377096,1.2378497601377096,1.2378497601377096,1.2378497601377096,20423310.021183703,,,,1.4563255303836184,44.3568536488301,bear,hold
2025-08-28,1.2380935494563827,1.2380935494563827,1.2380935494563827,1.2380935494563827,20215389.144995984,,,,1.4533764495602775,44.381161017622006,bear,hold
2025-08-29,1.2748727503927586,1.2748727503927586,1.2748727503927586,1.2748727503927586,18298505.226187985,,,,1.4509642374093652,48.067044554630016,bear,hold
2025-08-30,1.2259196966765085,1.2259196966765085,1.2259196966765085,1.2259196966765085,22133878.75896493,,,,1.4479230949670294,43.897210293158835,bear,hold
2025-08-31,1.2440935086767473,1.2440935086767473,1.2440935086767473,1.2440935086767473,12466736.948418312,,,,1.4451686410982418,45.77782251296781,bear,hold
2025-09-01,1.2185312159094859,1.2185312159094859,1.2185312159094859,1.2185312159094859,11612000.737771044,,,,1.4421059731902857,43.56575441530033,bear,hold
2025-09-02,1.1979257004694093,1.1979257004694093,1.1979257004694093,1.1979257004694093,21908238.14081673,,,,1.4388062397751387,41.81182990211405,bear,hold
