date,close,state,action,last_cross,last_cross_date,days_since_cross,ticker,return_12m_pct,return_1m_pct,rsi14
2026-06-26,25790.0,bull,보유,golden_cross,2025-07-11,350.0,379800.KS,40.35,1.0,57.48
2026-06-26,55800.0,bull,보유,golden_cross,2025-07-10,351.0,381180.KS,198.99,9.98,60.09
2026-06-26,17135.0,bull,보유,golden_cross,2025-07-04,357.0,448290.KS,20.9,-2.25,45.68
2026-06-26,45785.0,bull,보유,golden_cross,2025-07-09,352.0,466950.KS,161.83,14.25,62.57
2026-06-26,10645.0,bull,보유,golden_cross,2025-10-20,249.0,476760.KS,20.38,6.27,72.59
2026-06-26,13075.0,bull,보유,,,,0072R0.KS,,-7.79,35.04
2026-06-25,18.889999389648438,bear,매도,death_cross,2026-06-10,15.0,^VIX,13.86,11.05,52.61
2026-06-25,675.7100219726562,bull,보유,golden_cross,2025-06-27,363.0,VOO,22.17,-2.07,46.62
2026-06-25,363.9800109863281,bull,보유,golden_cross,2025-07-01,359.0,VTI,23.02,-1.48,48.58
2026-06-25,716.3800048828125,bull,보유,golden_cross,2025-06-23,367.0,QQQ,33.02,-1.8,50.17
2026-06-25,734.2999877929688,bull,보유,golden_cross,2025-06-27,363.0,SPY,22.29,-1.92,47.48
2026-06-25,154.85000610351562,bull,보유,golden_cross,2025-06-16,374.0,VT,24.79,-1.25,49.66
2026-06-25,220.49000549316406,bull,보유,golden_cross,2025-07-08,352.0,VTV,28.72,3.94,68.67
2026-06-25,83.29000091552734,bull,보유,golden_cross,2025-02-27,483.0,VEU,29.59,-0.49,51.98
2026-06-25,31.959999084472656,bull,보유,golden_cross,2025-08-21,308.0,SCHD,26.46,-1.39,51.5
2026-06-25,73.5999984741211,bull,보유,golden_cross,2025-03-04,478.0,BND,4.43,0.87,60.61
2026-06-25,82.08999633789062,bull,보유,golden_cross,2023-02-10,1231.0,SHY,2.92,0.15,55.59
2026-06-25,87.3499984741211,bear,미보유,death_cross,2026-05-07,49.0,TLT,4.37,3.05,65.2
2026-06-25,369.4599914550781,bull,보유,golden_cross,2023-12-04,934.0,GLD,20.3,-10.76,31.86
2026-06-25,64.18000030517578,bull,보유,golden_cross,2025-06-17,373.0,AIQ,49.28,-1.56,51.07
2026-06-18,78.9000015258789,bull,보유,golden_cross,2025-06-27,356.0,IRBO,104.37,23.76,61.74
2026-06-25,636.8800048828125,bull,보유,golden_cross,2025-06-30,360.0,SMH,132.14,5.77,56.98
2026-06-25,625.2000122070312,bull,보유,golden_cross,2025-07-08,352.0,SOXX,164.79,9.72,58.83
2026-06-25,237.3800048828125,bull,보유,golden_cross,2023-12-13,925.0,ITA,31.06,3.51,56.85
2026-06-25,272.7799987792969,bull,보유,golden_cross,2023-12-01,937.0,XAR,35.76,-1.35,47.58
2026-06-25,59.9900016784668,bull,보유,golden_cross,2025-07-01,359.0,PAVE,41.57,6.54,63.29
2026-06-25,76.4800033569336,bull,보유,golden_cross,2025-07-01,359.0,COPX,83.12,-12.6,39.11
2026-06-25,43.91999816894531,bull,보유,golden_cross,2025-06-16,374.0,URA,21.61,-13.65,38.38
2026-06-25,53.2599983215332,bull,보유,golden_cross,2025-07-07,353.0,URNM,19.11,-12.52,37.94
2026-06-25,155.6300048828125,bear,미보유,death_cross,2026-05-18,38.0,XLV,18.26,5.26,64.66
2026-06-25,45.849998474121094,bull,보유,golden_cross,2024-04-02,814.0,XLU,17.09,1.79,63.18
2026-06-25,198.16000366210938,bull,보유,golden_cross,2024-04-01,815.0,VPU,16.97,1.44,62.59
2026-06-25,49.43000030517578,bear,미보유,death_cross,2026-01-26,150.0,INDA,-10.13,1.81,56.31
2026-06-25,172.82000732421875,bull,보유,golden_cross,2024-10-17,616.0,DXJ,55.44,0.88,52.45
