date,value
2023-03-24,0.5295
2023-03-25,0.5213
2023-03-26,0.5131
2023-03-27,0.5049
2023-03-28,0.5135
2023-03-29,0.5903
2023-03-30,0.586
2023-03-31,0.6192
2023-04-01,0.6172
2023-04-02,0.5935
2023-04-03,0.5711
2023-04-04,0.5892
2023-04-05,0.5847
2023-04-06,0.5801
2023-04-07,0.5755
2023-04-08,0.5773
2023-04-09,0.6296
2023-04-10,0.6819
2023-04-11,0.7342
2023-04-12,0.7381
2023-04-13,0.7421
2023-04-14,0.746
2023-04-15,0.722
2023-04-16,0.698
2023-04-17,0.6741
2023-04-18,0.6501
2023-04-19,0.6262
2023-04-20,0.5731
2023-04-21,0.5201
2023-04-22,0.5576
2023-04-23,0.5416
2023-04-24,0.5661
2023-04-25,0.5904
2023-04-26,0.5956
2023-04-27,0.6711
2023-04-28,0.6619
2023-04-29,0.6526
2023-04-30,0.6623
2023-05-01,0.5746
2023-05-02,0.6147
2023-05-03,0.6372
2023-05-04,0.6547
2023-05-05,0.6722
2023-05-06,0.6268
2023-05-07,0.5814
2023-05-08,0.5361
2023-05-09,0.5303
2023-05-10,0.5307
2023-05-11,0.4845
2023-05-12,0.4694
2023-05-13,0.4742
2023-05-14,0.4795
2023-05-15,0.5
2023-05-16,0.485
2023-05-17,0.4786
2023-05-18,0.4722
2023-05-19,0.4757
2023-05-20,0.4904
2023-05-21,0.4676
2023-05-22,0.4714
2023-05-23,0.497
2023-05-24,0.4349
2023-05-25,0.444
2023-05-26,0.4606
2023-05-27,0.47
2023-05-28,0.5569
2023-05-29,0.5332
2023-05-30,0.5289
2023-05-31,0.494
2023-06-01,0.4662
2023-06-02,0.4961
2023-06-03,0.4927
2023-06-04,0.4892
2023-06-05,0.3933
2023-06-06,0.4929
2023-06-07,0.4316
2023-06-08,0.4443
2023-06-09,0.4407
2023-06-10,0.3983
2023-06-11,0.4015
2023-06-12,0.4018
2023-06-13,0.4001
2023-06-14,0.3452
2023-06-15,0.3779
2023-06-16,0.432
2023-06-17,0.4449
2023-06-18,0.4332
2023-06-19,0.4636
2023-06-20,0.5705
2023-06-21,0.6269
2023-06-22,0.6832
2023-06-23,0.7298
2023-06-24,0.7227
2023-06-25,0.7164
2023-06-26,0.7007
2023-06-27,0.6939
2023-06-28,0.687
2023-06-29,0.7119
2023-06-30,0.7124
2023-07-01,0.7171
2023-07-02,0.7176
2023-07-03,0.7547
2023-07-04,0.7307
2023-07-05,0.7091
2023-07-06,0.6744
2023-07-07,0.6986
2023-07-08,0.6937
2023-07-09,0.6864
2023-07-10,0.7021
2023-07-11,0.7168
2023-07-12,0.7001
2023-07-13,0.7731
2023-07-14,0.6941
2023-07-15,0.6925
2023-07-16,0.6894
2023-07-17,0.6823
2023-07-18,0.6601
2023-07-19,0.6586
2023-07-20,0.6571
2023-07-21,0.6653
2023-07-22,0.6574
2023-07-23,0.6495
2023-07-24,0.6416
2023-07-25,0.6338
2023-07-26,0.6259
2023-07-27,0.616
2023-07-28,0.6289
2023-07-29,0.6318
