,Close,High,Low,Open,Volume,ma50,ma200,sma20w,ema21w,rsi14,state,signal
2021-05-28,0.07208699733018875,0.08002399653196335,0.07034999877214432,0.07941000163555145,1935535999,,,,0.07208699733018875,,bear,hold
2021-05-29,0.0687830001115799,0.07442999631166458,0.06719499826431274,0.07207699865102768,1715969409,,,,0.07204234871912647,,bear,hold
2021-05-30,0.07203599810600281,0.07314500212669373,0.06665399670600891,0.06876300275325775,1308704706,,,,0.0720422629000302,,bear,hold
2021-05-31,0.07692000269889832,0.07692000269889832,0.06987900286912918,0.07199700176715851,1317577084,,,,0.0721081783027176,,bear,hold
2021-06-01,0.07613600045442581,0.07749799638986588,0.07375200092792511,0.07686299830675125,1680627011,,,,0.07216260833179473,,bear,hold
2021-06-02,0.07804100215435028,0.07956299930810928,0.07459399849176407,0.07615400105714798,1309569035,,,,0.0722420460861536,,bear,hold
2021-06-03,0.08211900293827057,0.08249299973249435,0.07723700255155563,0.07807499915361404,1309491953,,,,0.07237551847604708,,bear,hold
2021-06-04,0.07725200057029724,0.08289100229740143,0.07399799674749374,0.0822099968791008,1607401363,,,,0.07244141688272614,,bear,hold
2021-06-05,0.07559599727392197,0.07981300354003906,0.0743120014667511,0.07723399996757507,1256512914,,,,0.07248404634747202,,bear,hold
2021-06-06,0.07750699669122696,0.07751499861478806,0.07539500296115875,0.07556399703025818,941526755,,,,0.07255192405482006,,bear,hold
2021-06-07,0.07162100076675415,0.0786139965057373,0.07135900110006332,0.07752600312232971,1014355949,,,,0.07253934401038672,,bear,hold
2021-06-08,0.07263299822807312,0.07324899733066559,0.06736700236797333,0.07174800336360931,1564333796,,,,0.07254060960792304,,bear,hold
2021-06-09,0.07537499815225601,0.07537499815225601,0.0701109990477562,0.07253099977970123,1277102996,,,,0.07257891215581942,,bear,hold
2021-06-10,0.07260899990797043,0.07708600163459778,0.07160499691963196,0.07537999749183655,1488792119,,,,0.0725793187470647,47.2356516802508,bear,hold
2021-06-11,0.06914299726486206,0.07331900298595428,0.06857000291347504,0.07261600345373154,1257136952,,,,0.07253288197027818,41.22266093038433,bear,hold
2021-06-12,0.06811899691820145,0.06921199709177017,0.06581799685955048,0.06921199709177017,949381460,,,,0.07247323487497985,39.6180504569022,bear,hold
2021-06-13,0.07155600190162659,0.07185400277376175,0.06664200127124786,0.06810899823904037,927457428,,,,0.0724608398347994,47.065944812721284,bear,hold
2021-06-14,0.07225199788808823,0.0728669986128807,0.07005299627780914,0.07151400297880173,937971750,,,,0.07245801764633034,48.45252512432106,bear,hold
2021-06-15,0.07255099713802338,0.07316199690103531,0.07097599655389786,0.07201799750328064,997561624,,,,0.07245927412594781,49.06973637603378,bear,hold
2021-06-16,0.06891699880361557,0.07274799793958664,0.06853300333023071,0.07177700102329254,1076935627,,,,0.07241140554051088,42.42142964695364,bear,hold
2021-06-17,0.07382199913263321,0.07394900172948837,0.06878899782896042,0.06892800331115723,1048499053,,,,0.0724304676160801,51.89523433288,bear,hold
2021-06-18,0.06958399713039398,0.0747620016336441,0.0683630034327507,0.07389699667692184,1070084460,,,,0.07239200179870597,45.00503957779379,bear,hold
2021-06-19,0.06872200220823288,0.07025299966335297,0.06843700259923935,0.06962300091981888,767687152,,,,0.07234240720964553,43.733168199999746,bear,hold
2021-06-20,0.06783299893140793,0.06869799643754959,0.06342600286006927,0.06848199665546417,838602860,,,,0.07228146925993961,42.40224131775017,bear,hold
2021-06-21,0.05358399823307991,0.06801600009202957,0.05342699959874153,0.0676880031824112,1389817967,,,,0.07202880073254961,27.79924474942395,bear,hold
2021-06-22,0.050939999520778656,0.05636899918317795,0.046820998191833496,0.053530000150203705,1562546370,,,,0.07174381693239054,26.009285643661997,bear,hold
2021-06-23,0.05572199821472168,0.057822998613119125,0.049479998648166656,0.0510220006108284,1250973341,,,,0.07152730586863827,34.25461962149568,bear,hold
2021-06-24,0.06602499634027481,0.06792599707841873,0.05784500017762184,0.057982999831438065,1612558750,,,,0.0714529503344712,47.76163656684921,bear,hold
2021-06-25,0.061601001769304276,0.0684719979763031,0.06017199903726578,0.06611400097608566,1546113262,,,,0.07131981589440138,43.61787852247621,bear,hold
2021-06-26,0.06269600242376328,0.06294199824333191,0.058942001312971115,0.061468999832868576,1048264489,,,,0.0712032778745279,44.89229675786164,bear,hold
2021-06-27,0.06477999687194824,0.06491699814796448,0.06108599901199341,0.06277400255203247,839958642,,,,0.07111647677989845,47.33225369403687,bear,hold
2021-06-28,0.06523100286722183,0.06653600186109543,0.0642860010266304,0.06479500234127045,801639183,,,,0.07103694334864606,47.870184577198515,bear,hold
2021-06-29,0.06769099831581116,0.06983800232410431,0.06520400196313858,0.06530799716711044,1159746648,,,,0.07099172787522938,50.820718388308784,bear,hold
2021-06-30,0.0681459978222847,0.06870599836111069,0.06391700357198715,0.06791999936103821,1247099128,,,,0.0709532720637031,51.36898156560249,bear,hold
2021-07-01,0.06489399820566177,0.06820300221443176,0.06378299742937088,0.0681919977068901,1006008727,,,,0.07087138998454039,47.309423157342025,bear,hold
2021-07-02,0.06651200354099274,0.0665929988026619,0.06336899846792221,0.06480800360441208,849413564,,,,0.07081247935692488,49.44991641333828,bear,hold
2021-07-03,0.06681299954652786,0.06733699887990952,0.06528200209140778,0.06656599789857864,732889830,,,,0.07075843233246006,49.85799897649951,bear,hold
2021-07-04,0.06729800254106522,0.06818199902772903,0.06511300057172775,0.06683400273323059,844766257,,,,0.07071166976771148,50.550713921436085,bear,hold
2021-07-05,0.06457400321960449,0.06734400242567062,0.06369099766016006,0.067330002784729,798184866,,,,0.0706287283278722,46.652422067223895,bear,hold
2021-07-06,0.06493499875068665,0.06636899709701538,0.06401000171899796,0.06454899907112122,699504111,,,,0.07055178603628862,47.233169871403746,bear,hold
2021-07-07,0.06429500132799149,0.06597299873828888,0.06429100036621094,0.06497500091791153,742194463,,,,0.0704672348915819,46.27145331452695,bear,hold
2021-07-08,0.061122000217437744,0.06447900086641312,0.0603410005569458,0.06436999887228012,862275730,,,,0.0703409479365259,41.734428509742145,bear,hold
2021-07-09,0.062178000807762146,0.06255500018596649,0.05917700007557869,0.06102599948644638,657442032,,,,0.07023063784019126,43.71252908487685,bear,hold
2021-07-10,0.06137799844145775,0.06299299746751785,0.060777999460697174,0.062196001410484314,580818168,,,,0.07011100757804622,42.53441165155281,bear,hold
2021-07-11,0.06182299926877022,0.06254000216722488,0.060697998851537704,0.06140799820423126,576300878,,,,0.06999900746575871,43.44745010792263,bear,hold
2021-07-12,0.06022400036454201,0.06285600364208221,0.05959400162100792,0.06185400113463402,629129064,,,,0.06986691277520173,40.93090570147667,bear,hold
2021-07-13,0.0593390017747879,0.06072799861431122,0.05879399925470352,0.0601469986140728,572600864,,,,0.06972464370762857,39.564970044342175,bear,hold
2021-07-14,0.05986899882555008,0.06026799976825714,0.05697600170969963,0.05938199907541275,648866442,,,,0.06959145931733021,40.83828316350342,bear,hold
2021-07-15,0.0577160008251667,0.06069599837064743,0.057082999497652054,0.05990000069141388,679113077,,,,0.0694309801485172,37.39178881177893,bear,hold
2021-07-16,0.05568299815058708,0.058789998292922974,0.05568299815058708,0.05782200023531914,661820828,0.06732565961778164,,,0.06924519660800463,34.43644875347803,bear,hold
2021-07-17,0.055994998663663864,0.05668700113892555,0.05485000088810921,0.05564500018954277,653077710,0.06700381964445114,,,0.06906613987902704,35.28184321773567,bear,hold
2021-07-18,0.05605100095272064,0.05747700110077858,0.05550599843263626,0.056005001068115234,571783731,0.06674917966127396,,,0.06889025962326614,35.44275101880177,bear,hold
2021-07-19,0.05344900116324425,0.05627499893307686,0.05336900055408478,0.05598999932408333,613695394,0.06637743972241879,,,0.06868159396840098,31.521344590700906,bear,hold
2021-07-20,0.050558000802993774,0.05423299968242645,0.049166999757289886,0.05346500128507614,629142805,0.06585019968450069,,,0.06843668054724684,27.836234317507063,bear,hold
2021-07-21,0.05382300168275833,0.05518399924039841,0.049796998500823975,0.05051400139927864,784720302,0.06540393970906734,,,0.06823919840042943,36.81976092928365,bear,hold
2021-07-22,0.055282000452280045,0.05535599961876869,0.05302099883556366,0.053849998861551285,653910002,0.06494875967502595,,,0.06806410113085985,40.39082070432143,bear,hold
2021-07-23,0.05602699890732765,0.05621600151062012,0.05380399897694588,0.055289000272750854,631144957,0.06442691959440708,,,0.06790143758729861,42.18770934087899,bear,hold
2021-07-24,0.057346999645233154,0.05798700079321861,0.055796001106500626,0.055987000465393066,626451716,0.0640288195759058,,,0.06775881004754096,45.332150656163186,bear,hold
2021-07-25,0.05787999927997589,0.058107998222112656,0.05592000111937523,0.05734800174832344,653096000,0.06367449961602688,,,0.06762531260473603,46.5952588476759,bear,hold
2021-07-26,0.05855400115251541,0.0633929967880249,0.057725001126527786,0.05791400000452995,1123235539,0.06329543970525264,,,0.06750272731484117,48.224377684932236,bear,hold
2021-07-27,0.06017899885773659,0.06068100035190582,0.056967999786138535,0.058494001626968384,951725023,0.0630665996670723,,,0.06740375801136678,52.02426664022071,bear,hold
2021-07-28,0.060516998171806335,0.06182600185275078,0.0597120001912117,0.06024700030684471,897792708,0.06282427966594696,,,0.06731069368921055,52.800215929856286,bear,hold
2021-07-29,0.061772000044584274,0.06229700148105621,0.05976000055670738,0.06065399944782257,751987635,0.06255221970379353,,,0.06723584647779669,55.66735401074403,bear,hold
2021-07-30,0.06327199935913086,0.06327199935913086,0.05990299955010414,0.06186699867248535,820238094,0.062365479692816736,,,0.06718228097619311,58.88226635453402,bear,hold
2021-07-31,0.06409499794244766,0.0646980032324791,0.06241599842905998,0.06321799755096436,848178786,0.06226451970636845,,,0.06714056093519655,60.57171905039537,bear,hold
2021-08-01,0.06331799924373627,0.06679199635982513,0.06255500018596649,0.06400500237941742,895682088,0.06216849975287914,,,0.06708890469612276,58.14276963699945,bear,hold
2021-08-02,0.06469199806451797,0.06568799912929535,0.06234399974346161,0.06324700266122818,820616993,0.06203121967613697,,,0.06705651406596594,61.112451257627775,bear,hold
