Date,Close,High,Low,Open,Volume,ma50,ma200,sma20w,ema21w,rsi14,state,signal
2023-11-29,0.004042999818921089,0.005016999784857035,0.003343000076711178,0.0034910000395029783,664672,,,,0.004042999818921089,,bear,hold
2023-11-30,0.0039079999551177025,0.0050039999186992645,0.0033970000222325325,0.004044000059366226,598718,,,,0.0040411754964372595,,bear,hold
2023-12-01,0.0039809998124837875,0.004600000102072954,0.00292599992826581,0.0039079999551177025,560387,,,,0.004040362311518969,,bear,hold
2023-12-02,0.0038429999258369207,0.004749000072479248,0.0031759999692440033,0.0039809998124837875,627227,,,,0.004037695252252995,,bear,hold
2023-12-03,0.00481799989938736,0.006051999982446432,0.0038330000825226307,0.0038429999258369207,854687,,,,0.004048239909646703,,bear,hold
2023-12-04,0.007521000225096941,0.00802600011229515,0.0041680000722408295,0.004821999929845333,912208,,,,0.004095169103098733,,bear,hold
2023-12-05,0.005688999779522419,0.008016999810934067,0.005549000110477209,0.007521999999880791,762042,,,,0.004116707355482837,,bear,hold
2023-12-06,0.005299000069499016,0.007472999859601259,0.0052280002273619175,0.0056870002299547195,643541,,,,0.004132684284050623,,bear,hold
2023-12-07,0.005625999998301268,0.007304999977350235,0.004865000024437904,0.005299000069499016,519110,,,,0.004152864226135091,,bear,hold
2023-12-08,0.006126999855041504,0.00725799985229969,0.005404999945312738,0.005625999998301268,459585,,,,0.004179541734633826,,bear,hold
2023-12-09,0.0064489999786019325,0.006934999953955412,0.005127000156790018,0.006126999855041504,506202,,,,0.004210210089282043,,bear,hold
2023-12-10,0.007980999536812305,0.008213999681174755,0.005630000028759241,0.0064489999786019325,537483,,,,0.004261166703437858,,bear,hold
2023-12-11,0.00011300000187475234,0.00803999975323677,0.00010299999848939478,0.007974999956786633,1815473,,,,0.004205110396659978,,bear,hold
2023-12-12,0.00010699999984353781,0.00011500000255182385,0.00010399999882793054,0.00011300000187475234,3105,,,,0.004149730526432729,32.39276104631705,bear,hold
2023-12-13,7.400000322377309e-05,0.00010699999984353781,6.800000119255856e-05,0.00010699999984353781,16203,,,,0.004094653086929905,32.30429724686374,bear,hold
2023-12-14,7.000000186963007e-05,7.500000356230885e-05,6.900000153109431e-05,7.400000322377309e-05,2821,,,,0.00404026588307774,32.29278516020014,bear,hold
2023-12-15,5.999999848427251e-05,7.000000186963007e-05,5.999999848427251e-05,7.000000186963007e-05,1832,,,,0.003986478506258909,32.26183182380525,bear,hold
2023-12-16,5.999999848427251e-05,6.0999998822808266e-05,5.900000178371556e-05,5.999999848427251e-05,853,,,,0.003933417985883576,32.26183182380525,bear,hold
2023-12-17,5.900000178371556e-05,0.0005189999938011169,5.900000178371556e-05,5.999999848427251e-05,436,,,,0.003881060986098443,32.25824582204697,bear,hold
2023-12-18,6.0999998822808266e-05,6.0999998822808266e-05,5.700000110664405e-05,5.900000178371556e-05,427,,,,0.003829438540324448,32.27445979417233,bear,hold
2023-12-19,5.900000178371556e-05,0.00017100000695791095,5.8000001445179805e-05,6.0999998822808266e-05,82,,,,0.003778486668182006,32.266142832141014,bear,hold
2023-12-20,5.900000178371556e-05,6.0999998822808266e-05,5.900000178371556e-05,5.900000178371556e-05,60,,,,0.0037282233348522997,32.266142832141014,bear,hold
2023-12-21,5.900000178371556e-05,5.999999848427251e-05,5.900000178371556e-05,5.900000178371556e-05,663,,,,0.0036786392357567787,32.266142832141014,bear,hold
2023-12-22,5.999999848427251e-05,6.0999998822808266e-05,5.900000178371556e-05,5.900000178371556e-05,68,,,,0.0036297387055233667,32.2770412868819,bear,hold
2023-12-23,5.900000178371556e-05,5.999999848427251e-05,5.8000001445179805e-05,5.999999848427251e-05,344,,,,0.0035814854797971553,32.27144934986417,bear,hold
2023-12-24,5.6000000768108293e-05,5.900000178371556e-05,5.6000000768108293e-05,5.900000178371556e-05,457,,,,0.0035338437841346006,32.253396260835785,bear,hold
2023-12-25,5.999999848427251e-05,5.999999848427251e-05,5.6000000768108293e-05,5.6000000768108293e-05,983,,,,0.00348689994919338,32.30777071309792,bear,hold
2023-12-26,5.8000001445179805e-05,5.999999848427251e-05,5.8000001445179805e-05,5.999999848427251e-05,78,,,,0.003440563463412999,32.29381406911696,bear,hold
2023-12-27,5.999999848427251e-05,5.999999848427251e-05,5.8000001445179805e-05,5.8000001445179805e-05,544,,,,0.003394880173346395,32.325297716920815,bear,hold
2023-12-28,5.6000000768108293e-05,5.999999848427251e-05,5.6000000768108293e-05,5.999999848427251e-05,1065,,,,0.003349760171014256,32.292954772511976,bear,hold
2023-12-29,5.500000042957254e-05,5.6000000768108293e-05,5.500000042957254e-05,5.6000000768108293e-05,46,,,,0.0033052363849252735,32.28425810395841,bear,hold
2023-12-30,5.2999999752501026e-05,5.500000042957254e-05,5.2999999752501026e-05,5.500000042957254e-05,511,,,,0.003261287244585101,32.265542717999594,bear,hold
2023-12-31,5.199999941396527e-05,5.2999999752501026e-05,5.199999941396527e-05,5.2999999752501026e-05,307,,,,0.0032179184980287347,32.255474187368904,bear,hold
2024-01-01,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,5.199999941396527e-05,27,,,,0.0031751358156150216,32.25547418736892,bear,hold
2024-01-02,5.500000042957254e-05,5.500000042957254e-05,5.199999941396527e-05,5.199999941396527e-05,26,,,,0.0031329718181125157,32.32894598798666,bear,hold
2024-01-03,5.500000042957254e-05,5.500000042957254e-05,5.500000042957254e-05,5.500000042957254e-05,0,,,,0.0030913776043600435,32.32894598798666,bear,hold
2024-01-04,5.0999999075429514e-05,5.500000042957254e-05,4.999999873689376e-05,5.500000042957254e-05,405,,,,0.0030502914205048463,32.274818435799006,bear,hold
2024-01-05,4.8999998398358e-05,5.0999999075429514e-05,4.8999998398358e-05,5.0999999075429514e-05,120,,,,0.003009733428314218,32.24574783663678,bear,hold
2024-01-06,4.8999998398358e-05,4.8999998398358e-05,4.8999998398358e-05,4.8999998398358e-05,44,,,,0.0029697235170991387,32.24574783663678,bear,hold
2024-01-07,4.8999998398358e-05,4.8999998398358e-05,4.8999998398358e-05,4.8999998398358e-05,0,,,,0.002930254280359939,32.24574783663678,bear,hold
2024-01-08,4.8999998398358e-05,4.8999998398358e-05,4.8999998398358e-05,4.8999998398358e-05,0,,,,0.0028913184116847825,32.24574783663678,bear,hold
2024-01-09,5.0999999075429514e-05,5.0999999075429514e-05,4.8999998398358e-05,4.8999998398358e-05,18,,,,0.002852935730433305,32.32773382353169,bear,hold
2024-01-10,5.2999999752501026e-05,5.2999999752501026e-05,5.0999999075429514e-05,5.0999999075429514e-05,72,,,,0.002815098761099781,32.41580481844176,bear,hold
2024-01-11,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,0,,,,0.002777773102162656,32.41580481844176,bear,hold
2024-01-12,5.8000001445179805e-05,5.8000001445179805e-05,5.2999999752501026e-05,5.2999999752501026e-05,28,,,,0.00274101941161242,32.669867586950375,bear,hold
2024-01-13,5.6000000768108293e-05,5.8000001445179805e-05,5.6000000768108293e-05,5.8000001445179805e-05,256,,,,0.002704735365519929,32.61704918915126,bear,hold
2024-01-14,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,0,,,,0.0026689416443746346,32.61704918915126,bear,hold
2024-01-15,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,0,,,,0.0026336316221637355,32.61704918915126,bear,hold
2024-01-16,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,5.6000000768108293e-05,0,,,,0.002598798762415146,32.61704918915126,bear,hold
2024-01-17,5.500000042957254e-05,5.6000000768108293e-05,5.500000042957254e-05,5.6000000768108293e-05,194,0.0013507599772128742,,,0.002564423103469395,32.58162341851727,bear,hold
2024-01-18,5.400000009103678e-05,5.500000042957254e-05,5.400000009103678e-05,5.500000042957254e-05,6,0.001270979980836273,,,0.002530498466937255,32.5435585476048,bear,hold
2024-01-19,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.400000009103678e-05,38,0.001193879981728969,,,0.002497018757921245,32.502664952186265,bear,hold
2024-01-20,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,95,0.0011153199854743434,,,0.0024639914774054516,32.502664952186265,bear,hold
2024-01-21,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,19,0.001039519986952655,,,0.002431410511491223,32.502664952186265,bear,hold
2024-01-22,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,5.2999999752501026e-05,0,0.0009442199889599578,,,0.0023992698289001593,32.502664952186265,bear,hold
2024-01-23,4.70000013592653e-05,5.2999999752501026e-05,4.70000013592653e-05,5.2999999752501026e-05,51,0.0007947399844852043,,,0.0023674823987982554,32.17636504010777,bear,hold
2024-01-24,4.70000013592653e-05,4.8000001697801054e-05,4.70000013592653e-05,4.70000013592653e-05,80,0.0006818999889219412,,,0.0023361245285625936,32.17636504010777,bear,hold
2024-01-25,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,4.70000013592653e-05,77,0.0005768599875591462,,,0.002305190413330116,32.17636504010777,bear,hold
2024-01-26,6.600000051548705e-05,6.600000051548705e-05,4.70000013592653e-05,4.70000013592653e-05,7190,0.0004656599876034306,,,0.0022749310834272157,34.76651589076421,bear,hold
2024-01-27,6.70000008540228e-05,6.800000119255856e-05,6.600000051548705e-05,6.600000051548705e-05,207,0.000344459990519681,,,0.0022450941769059565,34.90741451974468,bear,hold
2024-01-28,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,232,0.00021683999097149353,,,0.0022156739853422622,35.058472396508975,bear,hold
2024-01-29,6.399999983841553e-05,6.800000119255856e-05,6.299999949987978e-05,6.800000119255856e-05,2403,5.8500000232015733e-05,,,0.0021865973098624805,34.71147232537567,bear,hold
2024-01-30,5.999999848427251e-05,6.399999983841553e-05,5.999999848427251e-05,6.399999983841553e-05,1909,5.744000016420614e-05,,,0.0021578595083573695,34.345380867628535,bear,hold
2024-02-01,1.6708099842071533,1.895956039428711,0.5489429831504822,0.5489429831504822,244514947,0.0334714996843104,,,0.024707212544827585,99.98616366142456,bear,hold
2024-02-02,1.6773079633712769,1.9456239938735962,1.5343149900436401,1.6386229991912842,191879645,0.06701617895167146,,,0.04703965512356339,99.9862213601667,bear,hold
2024-02-03,1.3924709558486938,1.69166898727417,1.3651959896087646,1.6720329523086548,100364125,0.09486419806860795,,,0.0652211591874165,83.54075024396718,bear,hold
2024-02-04,1.3811509609222412,1.4429069757461548,1.3336999416351318,1.3951220512390137,70856382,0.12248601728708308,,,0.0830039943459952,82.95677755317726,bear,hold
2024-02-05,1.3113950490951538,1.547165036201477,1.2806119918823242,1.381335973739624,82343116,0.14871271826901647,,,0.09960387346422708,79.27911051825406,bear,hold
2024-02-06,1.2202149629592896,1.3152400255203247,1.2034239768981934,1.3114700317382812,59518526,0.1731158375281666,,,0.11474726656551172,74.62225702147646,bear,hold
2024-02-07,1.2769190073013306,1.2880949974060059,1.140326976776123,1.2208720445632935,67089830,0.19865299767421674,,,0.13045229008896875,75.58282465554467,bear,hold
2024-02-08,1.2150269746780396,1.3202840089797974,1.2053070068359375,1.2796770334243774,58273494,0.22295235716774187,,,0.14510870474557783,72.36325062420747,bear,hold
2024-02-09,1.465965986251831,1.4978220462799072,1.20694100856781,1.214951992034912,93965687,0.25227049689274283,,,0.1629581274686353,76.69734886782274,bear,hold
2024-02-10,1.4755200147628784,1.5471709966659546,1.3697710037231445,1.4654849767684937,52936201,0.2817797171879647,,,0.18069545026990888,76.84622893617559,bear,hold
2024-02-11,1.6814219951629639,1.78302800655365,1.4618330001831055,1.4749939441680908,89475345,0.3154069570912543,,,0.20097553871440962,79.83617179746726,bear,hold
2024-02-12,2.0742969512939453,2.0973169803619385,1.645792007446289,1.683161973953247,123337879,0.3568917161170975,,,0.2262906929384574,84.0646282218447,bear,hold
2024-02-13,2.3375821113586426,2.518273115158081,2.030747890472412,2.0711588859558105,194662299,0.403642238344255,,,0.2548216580522437,86.15933210425582,bear,hold
2024-02-14,2.4151530265808105,2.568794012069702,2.243401050567627,2.3382630348205566,119084406,0.45194409887590153,,,0.28401532519452166,86.71348393496605,bear,hold
2024-02-15,2.718295097351074,2.854006052017212,2.272869110107422,2.4126169681549072,178911983,0.5063088408228942,,,0.3169109977912319,88.62944005056761,bear,hold
2024-02-16,2.476085901260376,2.8283441066741943,2.4331319332122803,2.7187230587005615,122912545,0.555829358848132,,,0.3460890370273014,78.84616800535105,bear,hold
2024-02-17,2.370445966720581,2.4809908866882324,2.2541608810424805,2.4751760959625244,84997649,0.6032371581825282,,,0.3734452117528863,74.95969109874149,bear,hold
2024-02-18,2.6570470333099365,2.7796950340270996,2.3079049587249756,2.3734569549560547,103414259,0.6563769988487184,,,0.40430469582798156,78.1119186261777,bear,hold
2024-02-19,2.47603702545166,2.665508985519409,2.3989620208740234,2.656975030899048,87256730,0.7058966793577565,,,0.43230107866073403,71.95127825734085,bear,hold
2024-02-20,2.343606948852539,2.4873108863830566,2.2016289234161377,2.475872039794922,115119864,0.752767778334819,,,0.4581295363660287,67.74174761807531,bear,hold
2024-02-21,2.2462589740753174,2.386281967163086,2.0629079341888428,2.3433849811553955,103942975,0.7976919178163371,,,0.4822934476864245,64.74317791938387,bear,hold
2024-02-22,2.494961977005005,2.5258660316467285,2.1527209281921387,2.2451629638671875,127766105,0.8475900573564286,,,0.5094916710555946,68.57080643050529,bear,hold
2024-02-23,2.1982901096343994,2.608931064605713,2.1461880207061768,2.4947290420532227,115576813,0.891554759549108,,,0.5323132715769298,60.178047834380195,bear,hold
2024-02-24,2.32226300239563,2.3469040393829346,2.117738962173462,2.198251962661743,66540410,0.937998999597039,,,0.5565017814528581,62.2569657361951,bear,hold
2024-02-25,2.4425649642944336,2.519861936569214,2.2155699729919434,2.3236401081085205,91481814,0.9868493188829598,,,0.5819891217615281,64.20956204348374,bear,hold
2024-02-26,2.5628550052642822,2.7080330848693848,2.26718807220459,2.442552089691162,116316734,1.0381054389882776,,,0.6087575796467004,66.09816433757113,bear,hold
2024-02-27,2.5446410179138184,2.781730890274048,2.489331007003784,2.5627899169921875,119868932,1.0889972793465859,,,0.6349181666503101,65.534264498086,bear,hold
2024-02-28,2.3828558921813965,2.742764949798584,2.2226500511169434,2.5459649562835693,118009917,1.1366534171902458,,,0.6585389467250545,60.58968345472705,bear,hold
2024-02-29,2.245516061782837,2.4804279804229736,2.1687049865722656,2.381463050842285,90771041,1.181562718425921,,,0.6799845834150245,56.68006809219764,bear,hold
2024-03-01,2.3058669567108154,2.3993330001831055,2.2315869331359863,2.2450380325317383,72361359,1.2276789975601423,,,0.7019559668379407,57.963674815308096,bear,hold
2024-03-02,2.3600590229034424,2.3613440990448,2.2434170246124268,2.3063979148864746,54223895,1.2748791180182162,,,0.72436276489288,59.134619667521946,bear,hold
2024-03-03,2.2759249210357666,2.460252046585083,2.124897003173828,2.3608829975128174,62383121,1.3203964564389026,,,0.7453298210569731,56.50310931687708,bear,hold
2024-03-04,2.1315419673919678,2.311332941055298,2.073906898498535,2.2767300605773926,72308539,1.3630261757867266,,,0.7640624176290676,52.209328015173035,bear,hold
2024-03-05,1.9235080480575562,2.3180599212646484,1.7695770263671875,2.131197929382324,108490698,1.4014952167478623,,,0.7797306018240472,46.70239676300066,bear,hold
2024-03-06,2.238568067550659,2.2463490962982178,1.889299988746643,1.923408031463623,74642710,1.44626545809886,,,0.7994446216311636,54.525411631200754,bear,hold
2024-03-07,2.404421091079712,2.4719181060791016,2.193463087081909,2.238568067550659,85178723,1.494352759920439,,,0.8211334928399279,58.01872006590645,bear,hold
2024-03-08,2.3307199478149414,2.4940879344940186,2.2230260372161865,2.4043309688568115,63964005,1.5409660588767293,,,0.8415333097990496,55.96144395632584,bear,hold
2024-03-09,2.3706700801849365,2.517024040222168,2.306736946105957,2.3307199478149414,51636733,1.5883783804804261,,,0.8621973202096698,56.854519970751056,bear,hold
2024-03-10,2.4549190998077393,2.4549190998077393,2.244241952896118,2.3706700801849365,37646731,1.6374757024765858,,,0.8837205875015356,58.75414123234446,bear,hold
2024-03-11,2.53983998298645,2.564781904220581,2.299907922744751,2.4549551010131836,67212071,1.6882714421363199,,,0.9061005793324128,60.6354965440256,bear,hold
2024-03-12,2.3841919898986816,2.572206974029541,2.284179925918579,2.53983998298645,53337110,1.7359542219342985,,,0.9260747875833084,55.62718577589061,bear,hold
2024-03-13,2.393623113632202,2.4213180541992188,2.2896358966827393,2.3843228816986084,34740556,1.7838256242069475,,,0.9459065217191043,55.86506222679855,bear,hold
2024-03-14,2.2696099281311035,2.432291030883789,2.110814094543457,2.393623113632202,59189076,1.8292168827695423,,,0.9637944055895368,51.923338436689555,bear,hold
2024-03-15,2.087312936782837,2.2852189540863037,1.897475004196167,2.2696099281311035,59675686,1.870962201505172,,,0.9789770884435003,46.706368605503656,bear,hold
2024-03-16,2.0330989360809326,2.344827890396118,1.976073980331421,2.087312936782837,62921853,1.9116232402267632,,,0.9932219782764385,45.250261081094266,bear,hold
2024-03-17,2.110132932662964,2.1382830142974854,1.896111011505127,2.0330989360809326,37794996,1.9538245788800124,,,1.0083153695519322,47.74322286844312,bear,hold
2024-03-18,1.8571759462356567,2.154139995574951,1.8343390226364136,2.110132932662964,35395643,1.9909667578047083,,,1.0197864584260365,41.121756752934886,bear,hold
2024-03-19,1.9605339765548706,2.0797119140625,1.6694129705429077,1.8571089506149292,79271852,2.0301760773357818,,,1.0324992627250749,44.50827105398551,bear,hold
2024-03-20,2.106889009475708,2.1210989952087402,1.8057819604873657,1.9605339765548706,48085400,2.0723125775252993,,,1.04701804308657,48.982946713502855,bear,hold
2024-03-21,2.088236093521118,2.185105085372925,2.0319299697875977,2.106889009475708,49847185,2.114076099395752,,,1.0610885572816315,48.446752978573706,bear,hold
2024-03-22,1.9901460409164429,2.1170918941497803,1.935884952545166,2.0882420539855957,41465958,2.1204628205299376,,,1.0736433881415615,45.61872999098522,bear,hold
2024-03-23,1.9853310585021973,2.0644519329071045,1.9605660438537598,1.9901460409164429,26545505,2.126623282432556,,,1.0859634917950838,45.47839118583182,bear,hold
2024-03-24,2.0438570976257324,2.065774917602539,1.941485047340393,1.9853310585021973,28195431,2.139651005268097,,,1.0989079999819844,47.588945781154266,bear,hold
2024-03-25,2.1009180545806885,2.132436990737915,2.033082962036133,2.0438570976257324,45173455,2.154046347141266,,,1.1124486763954804,49.63597010121692,bear,hold
2024-03-26,2.150391101837158,2.296760082244873,2.096203088760376,2.1009180545806885,75554770,2.170826268196106,,,1.1264749253879356,51.408032005933315,bear,hold
2024-03-27,2.0810060501098633,2.1814448833465576,2.046260118484497,2.150391101837158,57561933,2.1880420899391173,,,1.1393739946409347,48.81394656541215,bear,hold
2024-03-28,2.0955190658569336,2.2029170989990234,2.030519962310791,2.0810110569000244,49874349,2.2044140911102295,,,1.1522948739816914,49.389217959897046,bear,hold
2024-03-29,2.1061079502105713,2.1601290702819824,2.0367870330810547,2.0955190658569336,43867492,2.2222357106208803,,,1.1651842398766763,49.832237707671766,bear,hold
2024-03-30,2.091464042663574,2.249830961227417,2.072819948196411,2.1061079502105713,54282970,2.234745671749115,,,1.1777015345089317,49.19094447777365,bear,hold
2024-03-31,2.0915420055389404,2.143894910812378,2.063385009765625,2.091464042663574,31188576,2.2470661115646364,,,1.1900507300633913,49.19469309328477,bear,hold
2024-04-01,1.9806410074234009,2.11061692237854,1.9370369911193848,2.0915379524230957,40428261,2.253050491809845,,,1.2007343824601484,44.19921951204165,bear,hold
2024-04-02,1.773324966430664,1.980654001235962,1.7676719427108765,1.9806410074234009,46026618,2.2470310521125794,,,1.2084720930543444,36.69726761237251,bear,hold
2024-04-03,1.839506983757019,1.8980530500411987,1.72645103931427,1.773324966430664,34455002,2.237069549560547,,,1.2169995915773535,40.18741695326167,bear,hold
2024-04-04,1.9263310432434082,1.937788963317871,1.79796302318573,1.839506983757019,28529118,2.227293109893799,,,1.2265851517350028,44.509794120125854,bear,hold
2024-04-05,1.8637930154800415,1.9375180006027222,1.829882025718689,1.9263310432434082,35211191,2.2102030682563782,,,1.2351960688126384,42.14720778722741,bear,hold
2024-04-06,1.8525190353393555,1.9019819498062134,1.811979055404663,1.8637930154800415,28512796,2.197731730937958,,,1.2435382710629994,41.71730906266762,bear,hold
2024-04-07,1.8715260028839111,1.9002189636230469,1.845824956893921,1.8525190353393555,25526447,2.1877533316612245,,,1.252024591763282,42.77702156543048,bear,hold
2024-04-08,1.8986769914627075,1.93510901927948,1.831536054611206,1.8715260028839111,56010978,2.1725859308242796,,,1.2607631377051662,44.33404665838058,bear,hold
2024-04-09,1.7776410579681396,2.004185914993286,1.7607389688491821,1.8986769914627075,44303003,2.1586180114746094,,,1.2677479744654767,39.21185420093743,bear,hold
2024-04-10,1.7013410329818726,1.785830020904541,1.6367360353469849,1.7776639461517334,47012836,2.145772693157196,,,1.2736073401211037,36.35993841721697,bear,hold
2024-04-11,1.6641050577163696,1.7324169874191284,1.6348270177841187,1.7013410329818726,29215836,2.1341296148300173,,,1.2788843363048237,35.02126724552964,bear,hold
2024-04-12,1.2161400318145752,1.6982699632644653,1.0535579919815063,1.6641050577163696,64100776,2.1085531759262084,,,1.2780364402981987,23.71110871227441,bear,hold
2024-04-13,1.0843000411987305,1.3014229536056519,0.9066190123558044,1.2161400318145752,65024044,2.086273374557495,,,1.2754183808509088,21.509432151564752,bear,hold
2024-04-14,1.2634739875793457,1.2855360507965088,1.0454210042953491,1.0843000411987305,57388050,2.0650975942611693,,,1.2752569701310228,30.90000435760399,bear,hold
2024-04-15,1.2185659408569336,1.29899001121521,1.1513220071792603,1.2634739875793457,37485403,2.0406176137924192,,,1.2744908751408326,29.933365770226672,bear,hold
2024-04-16,1.2497450113296509,1.356510043144226,1.1533780097961426,1.2185659408569336,68328543,2.014355413913727,,,1.2741564715758167,31.53476412156577,bear,hold
2024-04-17,1.2136420011520386,1.2557519674301147,1.1310479640960693,1.2497429847717285,37263472,1.9877354335784911,,1.0993116474650897,1.2733387084619818,30.66091165101217,bear,hold
2024-04-18,1.2191829681396484,1.2587100267410278,1.1524449586868286,1.2136420011520386,31454314,1.9644619750976562,,1.1079912186673806,1.2726068741333016,30.977043985593724,bear,hold
2024-04-19,1.2313350439071655,1.2668499946594238,1.0873980522155762,1.2191829681396484,35793913,1.9441783547401428,,1.1167585546956096,1.2720491466978134,31.712374171129525,bear,hold
2024-04-20,1.352180004119873,1.4258129596710205,1.2112070322036743,1.2314319610595703,24135487,1.925104615688324,,1.1263885475835196,1.2731319961224359,38.705525457779665,bear,hold
2024-04-21,1.3132820129394531,1.3665059804916382,1.2755869626998901,1.3521660566329956,21696373,1.9041690754890441,,1.1357416833907596,1.2736745639172604,37.378627356575954,bear,hold
2024-04-22,1.3274110555648804,1.3807770013809204,1.3044769763946533,1.3132820129394531,21263984,1.8851987981796265,,1.145188776645513,1.2744007327233093,38.207279326800254,bear,hold
2024-04-23,1.2888519763946533,1.3484820127487183,1.2760740518569946,1.3274110555648804,21292153,1.8683449983596803,,1.15434114076101,1.274596019799949,36.77698850967373,bear,hold
2024-04-24,1.2334380149841309,1.358327031135559,1.2130080461502075,1.289091944694519,20912489,1.8545435976982116,,1.1631107765839002,1.2740398305456813,34.762931072943886,bear,hold
2024-04-25,1.2241510152816772,1.3513150215148926,1.178642988204956,1.2334569692611694,24976409,1.834255256652832,,1.1718168624068441,1.273365657366438,34.422694133981736,bear,hold
2024-04-26,1.168200969696045,1.2247179746627808,1.1600699424743652,1.2241510152816772,14996442,1.8095308542251587,,1.1801209693332566,1.2719445129384597,32.36736171344019,bear,hold
2024-04-27,1.190878987312317,1.193613052368164,1.1121159791946411,1.168200969696045,13751356,1.7867340350151062,,1.18858348352938,1.270849032862431,34.085304869304835,bear,hold
2024-04-28,1.1716320514678955,1.3129080533981323,1.1643940210342407,1.190878987312317,19465534,1.7627532744407655,,1.1969062196114464,1.2695082628435859,33.31192409366366,bear,hold
2024-04-29,1.211074948310852,1.2579840421676636,1.1098510026931763,1.1716790199279785,22139821,1.7378763914108277,,1.2054997478169753,1.2687186234580083,36.492062952529466,bear,hold
2024-04-30,1.2540119886398315,1.348019003868103,1.1634490489959717,1.2107830047607422,58534455,1.7121598315238953,,1.2144561691643894,1.2685198851496546,39.854462300464206,bear,hold
2024-05-01,1.3632570505142212,1.538364052772522,1.1049699783325195,1.2540119886398315,87635100,1.691741132736206,,1.224192955239492,1.2698001171140407,47.47432770785292,bear,hold
2024-05-02,1.3080439567565918,1.4370219707489014,1.2599749565124512,1.363340973854065,58655740,1.6700295495986939,,1.2335355977877303,1.270316925757859,44.41188451556057,bear,hold
2024-05-03,1.5804890394210815,1.8811620473861694,1.2945400476455688,1.3080439567565918,229322794,1.6562471318244933,,1.2448243052121533,1.274508440807362,58.60258942600791,bear,hold
2024-05-04,1.6410759687423706,1.7922389507293701,1.5392149686813354,1.5804840326309204,78561573,1.6473223924636842,,1.256545847846038,1.279462056049727,60.98769848456075,bear,hold
2024-05-05,1.72645902633667,1.8224660158157349,1.6022859811782837,1.6410759687423706,69985572,1.6411895942687988,,1.2688772694627395,1.2855025556481994,64.12465564522799,bear,hold
2024-05-06,1.6829359531402588,1.872493028640747,1.6642860174179077,1.726457953453064,195009580,1.6326456546783448,,1.2808978191280143,1.29087327723593,61.41380521056309,bear,hold
2024-05-07,1.5831730365753174,1.6906720399856567,1.581186056137085,1.6828980445861816,76139181,1.627165596485138,,1.2922057622464178,1.2948232739837595,55.610546389653244,bear,hold
