예측창,추천평균수익(%),비추천평균수익(%),격차(%p),t통계,p값,격차양수비율(%),월수,검증결과
1M,2.815,1.026,1.789,3.45,0.0011,72.9,59,✅ 상위가 하위를 유의하게 이겼다
3M,6.701,4.522,2.179,2.73,0.0083,70.2,57,✅ 상위가 하위를 유의하게 이겼다
