Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-08-17,786674.8125,807481.073284005,782711.7152078085,800545.6530226701,394750,,,,,,,,,,,,,394750,bear,hold
2021-08-18,786674.8125,794601.0070843829,768840.8746851386,784693.2638539043,217653,,,,,,,,,,,,,612403,bear,hold
2021-08-19,769831.6875,790637.9493243244,768840.9131274131,785684.0774613899,275059,,,,,,,,,,,,,337344,bear,hold
2021-08-20,764877.8125,777757.8792908031,753979.2944462434,768840.9099740932,286500,,,,,,,,,,,,,50844,bear,hold
2021-08-23,790638.0,800545.7443609022,765868.6390977444,772804.0601503759,367152,,,,,,,,,,,,,417996,bear,hold
2021-08-24,762896.25,803517.9983766234,739117.6655844155,798564.1266233766,522225,,,,,,,,,,,,,-104229,bear,hold
2021-08-25,768840.9375,769831.7119039949,753979.3214400774,763887.0654800258,242294,,,,,,,,,,,,,138065,bear,hold
2021-08-26,757942.375,773794.7645424837,751006.9545751634,770822.441503268,217222,,,,,,,,,,,,,-79157,bear,hold
2021-08-27,757942.375,762896.2467320261,748034.6315359477,754970.0519607844,152681,,,,,,,,,,,,,73524,bear,hold
2021-08-30,755960.8125,767850.1044397117,746053.0692169069,765868.555783093,190003,,,,,,,,,,,,,-116479,bear,hold
2021-08-31,785684.0625,785684.0625,752988.5088272383,754970.0575346784,393904,,,,,,,,,,,,,277425,bear,hold
2021-09-01,780730.1875,787665.607947335,771813.2183534264,785684.0592480964,203671,,,,,,,,,,,,,73754,bear,hold
2021-09-02,743080.75,778748.6259999999,743080.75,773794.7543333333,512964,,,,,,,,,,,,,-439210,bear,hold
2021-09-03,752988.5,756951.597368421,746053.0796052632,750016.1769736842,215816,,,,,40.92737632203161,,,,,,,,-223394,bear,hold
2021-09-06,759923.875,761905.4235658409,747043.8093220339,752988.4550195567,135638,,,,,44.30113859259486,,,,,,,,-87756,bear,hold
2021-09-07,767850.1875,775776.382983871,762896.3153225806,766859.4130645161,183517,,,,,47.95925599275254,,,,,,,,95761,bear,hold
2021-09-08,762896.25,767850.1217532468,753979.2808441558,767850.1217532468,237847,,,,,45.92894839712491,,,,,,,,-142086,bear,hold
2021-09-09,742090.0,762896.261682243,739117.6769025368,754970.0667556742,327119,,,,,38.54789934834401,,,,,,,,-469205,bear,hold
2021-09-10,743080.75,752988.4933333333,737136.1039999999,743080.75,180522,,,,,39.050194361494675,,,,,,,,-288683,bear,hold
