Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-09-13,12636.3251953125,12645.794153870245,12584.245923244895,12645.794153870245,280953,,,,,,,,,,,,,280953,bear,hold
2021-09-14,12598.447265625,12636.323093556228,12593.712787133596,12631.588615064826,227856,,,,,,,,,,,,,53097,bear,hold
2021-09-15,12508.4921875,12574.774886449659,12499.023230507191,12574.774886449659,266089,,,,,,,,,,,,,-212992,bear,hold
2021-09-16,12607.916015625,12607.916015625,12555.83675307454,12584.24362355661,187639,,,,,,,,,,,,,-25353,bear,hold
2021-09-17,12636.3251953125,12664.732070985738,12603.183840360387,12607.91831963926,271121,,,,,,,,,,,,,245768,bear,hold
2021-09-23,12456.4140625,12560.572598940516,12456.4140625,12532.16572536583,456166,,,,,,,,,,,,,-210398,bear,hold
2021-09-24,12565.3056640625,12593.712534440938,12541.633272080468,12546.367750476873,199841,,,,,,,,,,,,,-10557,bear,hold
2021-09-27,12659.9951171875,12659.9951171875,12626.853768713187,12631.58824706666,194780,,,,,,,,,,,,,184223,bear,hold
2021-09-28,12631.58984375,12636.32432270193,12574.776096326837,12579.510575278768,145395,,,,,,,,,,,,,38828,bear,hold
2021-09-29,12442.208984375,12465.881375897785,12432.740027765887,12442.208984375,402538,,,,,,,,,,,,,-363710,bear,hold
2021-09-30,12508.4921875,12522.695622989213,12446.943967046745,12522.695622989213,370233,,,,,,,,,,,,,6523,bear,hold
2021-10-01,12214.955078125,12489.55484344719,12205.486120700096,12489.55484344719,1247682,,,,,,,,,,,,,-1241159,bear,hold
2021-10-05,12295.44140625,12304.910363821236,12200.75183053764,12248.09661839382,522838,,,,,,,,,,,,,-718321,bear,hold
2021-10-06,12399.5986328125,12418.536545959216,12347.51937165903,12385.395197952463,596756,,,,,42.46397634050896,,,,,,,,-121565,bear,hold
2021-10-07,12565.3056640625,12574.774620855313,12503.757444909217,12508.491923305623,791192,,,,,51.267971465456675,,,,,,,,669627,bear,hold
2021-10-08,12636.3251953125,12641.059674591372,12603.183840360387,12603.183840360387,157201,,,,,54.482656337443856,,,,,,,,826828,bear,hold
2021-10-12,12513.2275390625,12555.83784850312,12489.555144928821,12546.36889084965,148950,,,,,48.50945715061574,,,,,,,,677878,bear,hold
2021-10-13,12465.8818359375,12499.023185292443,12451.678400499668,12499.023185292443,142669,,,,,46.40226855749213,,,,,,,,535209,bear,hold
