Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,state,signal
2021-05-17,63674.15625,65000.701171875,63596.124195772056,64922.669117647056,1775429,,,,,,bear,hold
2021-05-18,64766.609375,64922.673493975904,63596.128482680724,63596.128482680724,2000011,,,,,,bear,hold
2021-05-20,62659.75390625,64376.459492722606,62581.721834137614,63830.234987935866,3295770,,,,,,bear,hold
2021-05-21,64532.5234375,65781.03658743955,62893.849928204356,63205.97821568924,4785672,,,,,,bear,hold
2021-05-24,64220.38671875,65234.80351989672,63986.290533869986,64220.38671874999,1501669,,,,,,bear,hold
2021-05-25,63830.234375,64688.587159993884,63205.97780409535,64688.587159993884,1821387,,,,,,bear,hold
2021-05-26,63440.0703125,64610.55131457565,63205.97411208488,64064.32684694035,1599248,,,,,,bear,hold
2021-05-27,63049.9140625,63674.17063737624,62815.81784692141,63518.10649365718,2021954,,,,,,bear,hold
2021-05-28,66093.171875,66171.20395513577,63674.177390791025,63830.24155106257,6187345,,,,,,bear,hold
2021-05-31,66795.453125,66951.51726781542,65390.87583966122,66405.29276796145,3016750,,,,,,bear,hold
2021-06-01,66873.484375,67575.77300904317,65937.0995296091,66951.51644544925,2163249,,,,,,bear,hold
2021-06-02,67341.671875,68668.21697566628,66873.47948652954,67887.89632821552,4186773,,,,,,bear,hold
2021-06-03,67887.890625,68590.1791487069,66951.50592672414,67497.73033405172,2953650,,,,,,bear,hold
2021-06-04,69448.546875,69604.6110252809,68278.06574789326,68980.35442415731,4652245,,,,,78.39818024743741,bear,hold
2021-06-07,70228.8671875,71399.34830729167,70228.8671875,70306.89926215279,4349122,,,,,80.38655344935745,bear,hold
2021-06-08,71399.34375,71789.50409836065,69136.41372950819,70072.79856557377,3656495,,,,,82.92538036700634,bear,hold
2021-06-09,70462.9609375,72179.6665195875,70072.80057793467,71009.18544089148,3106550,,,,,74.60535631282949,bear,hold
2021-06-10,69604.6015625,70853.11459501121,69448.5374334361,70462.95427235146,2435935,,,,,67.88191525973825,bear,hold
2021-06-11,70072.7890625,70931.14171248609,69448.53258978286,70072.7890625,2413487,,,,,69.49666159821874,bear,hold
2021-06-14,69058.3828125,69838.70352224576,68356.09417372881,69604.60730932203,2159724,66772.040625,,,,62.20003558343981,bear,hold
2021-06-15,68980.34375,69370.50406532804,67887.89486708144,68746.24756080317,1490830,67037.35,,,0.08333345602832387,61.663656016691995,bear,hold
2021-06-16,69526.578125,70150.83471871492,68746.25738285633,68902.32153128507,1555202,67275.3484375,,,0.07349417849620132,64.00353356241463,bear,hold
2021-06-17,68356.0859375,69136.4065532249,68278.05387592751,69058.3744916524,1947846,67560.1650390625,,,0.09090894355845558,56.10162415321218,bear,hold
2021-06-18,69058.3828125,69604.60730932203,68356.09417372881,68668.22245762713,2172637,67786.4580078125,,,0.07013299858610544,59.34487330855386,bear,hold
2021-06-21,68200.0234375,69058.37613522598,67653.79899349256,68278.05550092964,2093073,67985.43984375,,,0.06196843279967501,54.08536960399535,bear,hold
2021-06-22,70072.7890625,70540.98141703787,68434.11582161748,68590.17993979677,2728623,68297.567578125,,,0.09779933833276022,61.99869504030545,bear,hold
2021-06-23,70384.921875,70853.11425997782,69916.72949002218,70540.98600332593,2113023,68644.81015625,,,0.10947105714559102,63.13898653571406,bear,hold
2021-06-24,70697.046875,73116.04075262141,70462.9506932947,71009.17511727373,4353794,69027.166796875,,,0.12128696646468962,64.29282929132663,bear,hold
2021-06-25,70775.0859375,71399.3424838065,69994.76525461687,71243.27834722988,1821258,69261.2625,,,0.07083809007312825,64.59126987408571,bear,hold
2021-06-28,69838.6953125,71165.2403631285,69526.56706529329,71087.20830132681,1889876,69413.424609375,,,0.045560618951187015,58.29526026771826,bear,hold
2021-06-29,69838.6953125,71243.27242493017,69526.56706529329,70228.85562150838,1631173,69561.68515625,,,0.04434060771938064,58.29526026771826,bear,hold
2021-06-30,69916.7265625,70384.91892787389,69604.59831891741,69838.69450160436,1532598,69690.437890625,,,0.03823865098389345,58.684471837644935,bear,hold
2021-07-01,70619.0078125,70775.07191816298,68668.20649171271,69682.6231785221,2961680,69826.99375,,,0.04022981362885725,62.11162488974656,bear,hold
