Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-07-01,30.233013153076172,30.27257312093178,30.02532898080349,30.213233169148367,26800,,,,,,,,,,,,,26800,bear,hold
2021-07-02,30.42091941833496,30.430809410360826,30.19345526070938,30.19345526070938,11800,,,,,,,,,,,,,38600,bear,hold
2021-07-06,30.450592041015625,30.509930112005062,30.183567892078273,30.401142076588375,29000,,,,,,,,,,,,,67600,bear,hold
2021-07-07,30.401138305664062,30.658272429821327,30.30224027540003,30.64838243816262,24600,,,,,,,,,,,,,43000,bear,hold
2021-07-08,29.956100463867188,30.06488660115521,29.6989663357193,29.708856327531496,29800,,,,,,,,,,,,,13200,bear,hold
2021-07-09,30.42091941833496,30.42091941833496,30.05499725867038,30.114337210825568,10200,,,,,,,,,,,,,23400,bear,hold
2021-07-12,30.361583709716797,30.480259850594752,30.351693716923094,30.480259850594752,19900,,,,,,,,,,,,,3500,bear,hold
2021-07-13,30.440696716308594,30.62860088925011,30.26268064819732,30.302238726487083,23700,,,,,,,,,,,,,27200,bear,hold
2021-07-14,30.3516902923584,30.6879424641122,30.3516902923584,30.539594475267908,17900,,,,,,,,,,,,,9300,bear,hold
2021-07-15,30.042142868041992,30.351692271078456,29.91654204050069,30.351692271078456,19900,,,,,,,,,,,,,-10600,bear,hold
2021-07-16,29.778087615966797,30.213235984995414,29.768197623081154,30.153897914004833,23800,,,,,,,,,,,,,-34400,bear,hold
2021-07-19,29.49127960205078,29.560507656820935,29.234145479816625,29.37260347567995,35200,,,,,,,,,,,,,-69600,bear,hold
2021-07-20,29.975881576538086,30.084669611092504,29.550621317450727,29.60007128148603,15100,,,,,,,,,,,,,-54500,bear,hold
2021-07-21,30.20334243774414,30.25279050694174,29.926428345797994,29.926428345797994,17400,,,,,50.89512174361052,,,,,,,,-37100,bear,hold
2021-07-22,30.500036239624023,30.500036239624023,30.292350188093028,30.292350188093028,85100,,,,,57.3450213390723,,,,,,,,48000,bear,hold
2021-07-23,30.697834014892578,30.70772212074957,30.470367967396044,30.598935979414495,27900,,,,,61.02087345412059,,,,,,,,75900,bear,hold
2021-07-26,30.391250610351562,30.529708617712227,30.371470625539587,30.50992863290025,12900,,,,,53.347068067536455,,,,,,,,63000,bear,hold
2021-07-27,29.946212768554688,30.16378694613901,29.595124634428416,30.16378694613901,20500,,,,,44.582512772075106,,,,,,,,42500,bear,hold
2021-07-28,30.381359100341797,30.430809059901627,30.054996912539252,30.163784937247794,36900,,,,,52.7557059342276,,,,,,,,79400,bear,hold
2021-07-29,30.391250610351562,30.55937670860702,30.391250610351562,30.430810579975518,23200,30.24176654815674,,,,52.92566372994272,,,,30.80698735098078,30.24176654815674,29.6765457453327,0.6322351030322559,102600,bear,hold
2021-07-30,30.094560623168945,30.218182707959272,30.07181345030996,30.094560623168945,25900,30.234843921661376,,,-0.004579514757798386,47.41581217865055,,,,30.803703708779334,30.234843921661376,29.665984134543418,0.3766978246052907,76700,bear,hold
2021-08-02,30.20334243774414,30.42091658306566,30.16773809250478,30.282460480254052,17900,30.223965072631835,,,-0.007152215802514017,49.49202392386948,,,,30.786461037577713,30.223965072631835,29.661469107685956,0.481668637489979,94600,bear,hold
2021-08-03,30.302242279052734,30.302242279052734,30.025330039591026,30.252794203812616,43000,30.216547584533693,,,-0.00487181864191899,51.37189388371935,,,,30.770745330569255,30.216547584533693,29.66234983849813,0.5773141853535638,137600,bear,hold
2021-08-04,30.490148544311523,30.50003853668385,30.293342789174773,30.322022446628303,10500,30.220998096466065,,,0.002927858745041645,54.813100391622946,,,,30.782436128360803,30.220998096466065,29.659560064571327,0.7396973775869179,148100,bear,hold
2021-08-05,30.697834014892578,30.697834014892578,30.411029900638447,30.411029900638447,45600,30.258084774017334,,,0.02476068445290691,58.323556655349975,,,,30.842166381774078,30.258084774017334,29.67400316626059,0.8764450335666015,193700,bear,hold
2021-08-06,30.529706954956055,30.697833044054768,30.490146987486675,30.61871310911601,8800,30.26352415084839,,,0.0035760765519639026,54.62399181301496,0.06891553214321533,,,30.855542456980924,30.26352415084839,29.671505844715856,0.724809605843569,184900,bear,hold
2021-08-09,30.59893226623535,30.65827032579228,30.500034242758538,30.608822257215323,8900,30.275391578674316,,,0.007817397102463985,55.865353335587635,0.08179788631641571,,,30.884077800614335,30.275391578674316,29.666705356734298,0.7657696822262863,193800,bear,hold
2021-08-10,30.460477828979492,30.707721973326155,30.460477828979492,30.707721973326155,16800,30.276380634307863,,,0.0006498245705492955,52.75667319648305,0.07991393078707176,,,30.886201288402308,30.276380634307863,29.666559980213417,0.6509437188094301,177000,bear,hold
2021-08-11,30.401138305664062,30.57421033020687,30.36158022535227,30.569264391216002,8500,30.278853034973146,,,0.0016291683537017487,51.43562290827177,0.0727935599991767,,,30.89027381111122,30.278853034973146,29.66743225883507,0.6000009121895632,168500,bear,hold
2021-08-12,30.460477828979492,30.500037797510057,30.341801696034043,30.371469786108843,15300,30.299769783020018,,,0.013924937471172072,52.71085174240383,0.07111900286573913,,,30.90596818010773,30.299769783020018,29.693571385932305,0.6325540010758398,183800,bear,hold
2021-08-13,30.500036239624023,30.539594319810913,30.38135822641731,30.47036626474159,14400,30.33586721420288,,,0.02424429106958903,53.585836116536264,0.07215221162610774,,,30.89787724304897,30.33586721420288,29.773857185356793,0.6460552454537256,198200,bear,hold
2021-08-16,30.2824649810791,30.361583035348175,30.03522082569784,30.361583035348175,16700,30.375426483154296,,,0.02682777382685364,48.293198618790015,0.05478334645043503,,,30.78469441772047,30.375426483154296,29.966158548588123,0.3864295315809015,181500,bear,hold
2021-08-17,29.847314834594727,30.045109027736405,29.718746817045584,30.045109027736405,22900,30.36899814605713,,,-0.004289006200370982,39.821635931096566,0.0058381173601951275,,,30.806248765703337,30.36899814605713,29.931747526410923,-0.09654953935172687,158600,bear,hold
2021-08-18,29.718746185302734,30.07477836624194,29.718746185302734,29.876982290981676,9800,30.34476833343506,,,-0.016044457776163923,37.716456711450284,-0.0428320041481598,0.036547771424386546,-0.07937977557254634,30.86237525848132,30.34476833343506,29.8271614083888,-0.10472736920625322,148800,bear,hold
2021-08-19,29.600067138671875,29.817641291005863,29.3528230120693,29.441831048552064,26200,30.29976987838745,,,-0.02950714857784187,35.83332483717385,-0.08994302609650617,0.011249611920208003,-0.10119263801671417,30.904676345857453,30.29976987838745,29.69486341091745,-0.07835614044767611,122600,bear,hold
2021-08-20,29.867094039916992,29.916542115330422,29.669297965616945,29.669297965616945,25500,30.258232879638673,,,-0.02706184333958428,42.75843942897222,-0.10452708791002507,-0.011905728045838613,-0.09262135986418646,30.862187522150613,30.258232879638673,29.654278237126732,0.17618525284045033,148100,bear,hold
2021-08-23,30.460477828979492,30.500037797510057,30.045107591024177,30.045107591024177,46300,30.26169424057007,,,0.0022778667293259502,54.50791783224602,-0.06742669632406262,-0.023009921701483416,-0.0444167746225792,30.869440196298044,30.26169424057007,29.653948284842095,0.6635416793282604,194400,bear,hold
2021-08-24,30.8758487701416,30.885738762499493,30.658274597237547,30.658274597237547,47200,30.308176040649414,,,0.031043524894843744,60.60392165735115,-0.004456038705903609,-0.019299145102367455,0.014843106396463846,30.953346065643515,30.308176040649414,29.663006015655313,0.9399404091172537,241600,bear,hold
2021-08-25,30.895627975463867,30.92529795178906,30.81156587202717,30.856069893353396,12100,30.333889484405518,,,0.016927118810701414,60.87279371300369,0.04650855602013948,-0.006137604877866069,0.05264616089800555,31.027826397597167,30.333889484405518,29.63995257121387,0.9047475212658204,253700,bear,hold
2021-08-26,30.757173538208008,31.004417695450318,30.71761356761409,30.90551965528875,8400,30.35218563079834,,,0.012040403751328643,57.89420530211752,0.07486327135466198,0.01006257036863954,0.06480070098602243,31.070089010011294,30.35218563079834,29.634282251585383,0.7820629621869599,245300,bear,hold
2021-08-27,31.088476181030273,31.112211783356294,30.70771999688426,30.717609988380353,12400,30.401881408691406,,,0.03302641863779665,62.60894466560077,0.1226540623250294,0.03258086875991752,0.09007319356511188,31.17690218679013,30.401881408691406,29.62686063059268,0.9429524934952178,257700,bear,hold
2021-08-30,31.301111221313477,31.37033928638644,31.093427026094588,31.16265509116755,13200,30.45676984786987,,,0.03634593707077571,65.29492842337827,0.17566156202725125,0.06119700741338426,0.11446455461386698,31.31842264920441,30.45676984786987,29.595117046535332,0.9899545223643895,270900,bear,hold
2021-08-31,31.498903274536133,31.498903274536133,31.34165561183035,31.46923329916727,9200,30.51660289764404,,,0.03949083980199797,67.62467400953759,0.2309680966717984,0.0951512252650671,0.13581687140673132,31.486426714920494,30.51660289764404,29.54677908036759,1.006432384621506,280100,bear,hold
2021-09-01,31.64725112915039,31.845047203236845,31.56813307678044,31.56813307678044,51600,30.574458026885985,,,0.037950047477048,69.2898298697958,0.2835013290642827,0.13282124602491024,0.15068008303937247,31.66197928679675,30.574458026885985,29.48693676697522,0.9932285656431359,331700,bear,hold
2021-09-02,31.58791160583496,31.92811940398077,31.58791160583496,31.756037695163993,26200,30.618961906433107,,,0.028994801083052746,67.78793135546869,0.3166954229071415,0.1695960814013565,0.14709934150578496,31.79248370598883,30.618961906433107,29.445440106877385,0.9128383894396696,305500,bear,hold
