Date,Close,High,Low,Open,Volume,ma50,ma200,sma20w,ema21w,rsi14,state,signal
2021-07-24,13.805340766906738,14.03961181640625,13.138667106628418,13.391894340515137,886579432,,,,13.805340766906738,,bear,hold
2021-07-25,13.712599754333496,13.833035469055176,13.095836639404297,13.777481079101562,777347324,,,,13.804087509980073,,bear,hold
2021-07-26,13.951711654663086,15.28815746307373,13.662253379821777,13.739113807678223,1793449168,,,,13.806082430854168,,bear,hold
2021-07-27,14.37607192993164,14.532206535339355,13.398344993591309,13.933466911315918,1125369355,,,,13.813784991652513,,bear,hold
2021-07-28,14.538834571838379,14.741687774658203,13.972804069519043,14.401078224182129,1108934437,,,,13.823582958952322,,bear,hold
2021-07-29,15.236948013305664,15.37865924835205,14.295145988464355,14.530527114868164,1062263753,,,,13.842682486713855,,bear,hold
2021-07-30,15.838522911071777,15.838522911071777,14.438772201538086,15.257331848144531,1137541991,,,,13.869653303259232,,bear,hold
2021-07-31,16.847204208374023,17.00242042541504,15.609440803527832,15.795483589172363,1264877872,,,,13.909890477652676,,bear,hold
2021-08-01,18.413965225219727,19.867767333984375,16.59880828857422,16.783761978149414,2765314958,,,,13.970756352619798,,bear,hold
2021-08-02,18.017284393310547,18.831836700439453,17.609724044799805,18.431352615356445,1663229216,,,,14.025439163980485,,bear,hold
2021-08-03,17.33682632446289,18.513397216796875,16.86625862121582,18.008831024169922,1323763207,,,,14.070187639122139,,bear,hold
2021-08-04,19.16309356689453,19.523395538330078,17.130821228027344,17.418771743774414,1596864082,,,,14.139010692200145,,bear,hold
2021-08-05,19.13237190246582,19.451784133911133,17.90880584716797,19.157344818115234,1640748887,,,,14.206488546392924,,bear,hold
2021-08-06,20.400678634643555,20.75922203063965,18.550565719604492,19.12693214416504,1714827721,,,,14.290193817855771,86.29451377712985,bear,hold
2021-08-07,20.96709442138672,21.682161331176758,20.089033126831055,20.4212589263916,1715197695,,,,14.380422204389973,87.45192061262131,bear,hold
2021-08-08,19.676132202148438,21.171062469482422,19.247997283935547,20.967561721801758,1319824174,,,,14.451985853008331,72.43723260347632,bear,hold
2021-08-09,20.6209716796875,21.248897552490234,18.735897064208984,19.661148071289062,1388957425,,,,14.535350526341833,75.72256250732596,bear,hold
2021-08-10,20.608009338378906,21.38875389099121,20.1248722076416,20.581571578979492,1436590205,,,,14.617413483261254,75.58944737075038,bear,hold
2021-08-11,21.402421951293945,22.396411895751953,20.552658081054688,20.619293212890625,1858448703,,,,14.709102786883317,78.12722406860013,bear,hold
2021-08-12,20.754806518554688,22.27886962890625,19.957048416137695,21.378454208374023,1646177585,,,,14.790801485959959,71.59288867964699,bear,hold
2021-08-13,22.714149475097656,22.714149475097656,20.5528507232666,20.790307998657227,1463855800,,,,14.897873756083442,77.67625572657704,bear,hold
2021-08-14,22.861026763916016,23.477127075195312,21.871505737304688,22.725379943847656,1618443546,,,,15.005483931864962,78.05563090936275,bear,hold
2021-08-15,23.17401695251465,23.337629318237305,21.872825622558594,22.858993530273438,1302613173,,,,15.115869513225094,78.87933318184263,bear,hold
2021-08-16,24.535856246948242,25.6485538482666,22.900766372680664,23.169599533081055,2668518584,,,,15.24316663124838,82.03848162120583,bear,hold
2021-08-17,23.533639907836914,27.387134552001953,23.08695411682129,24.43208885192871,3257290651,,,,15.355200053904984,73.3439354607602,bear,hold
2021-08-18,23.948135375976562,25.13239288330078,22.729354858398438,23.5186767578125,2397153468,,,,15.471320801500546,74.54547295349379,bear,hold
2021-08-19,26.548627853393555,26.806604385375977,23.480201721191406,23.88703727722168,2276827143,,,,15.621014140039641,80.48792044006396,bear,hold
