id,가설,예측창,IC,t통계,p값,적중률(%),표본수,검증결과,설명
H15,검증신호 복합점수 (BB+MA+RSI+Vol),1M,0.087,4.24,0.0001,49.4,114077,✅ 예측력 확인,개별 검증 신호(BB역방향·MA역방향·RSI역방향·거래량정방향) 결합 복합점수가 향후 수익을 예측한다
H15,검증신호 복합점수 (BB+MA+RSI+Vol),3M,0.0634,3.4,0.0013,48.4,109765,✅ 예측력 확인,개별 검증 신호(BB역방향·MA역방향·RSI역방향·거래량정방향) 결합 복합점수가 향후 수익을 예측한다
