Date,Close,High,Low,Open,Volume,ma20,ma50,ma200,momentum20,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_pct,obv,state,signal
2021-07-23,12050.5185546875,12059.988510329691,12017.373709939833,12031.578643403118,311701,,,,,,,,,,,,,311701,bear,hold
2021-07-26,12135.748046875,12159.42293576863,12107.338180202643,12159.42293576863,598551,,,,,,,,,,,,,910252,bear,hold
2021-07-27,12135.748046875,12187.832802440988,12121.54311353882,12187.832802440988,429143,,,,,,,,,,,,,1339395,bear,hold
2021-07-28,12145.216796875,12164.156706109892,12121.541910331383,12126.276887640106,378794,,,,,,,,,,,,,1718189,bear,hold
2021-07-29,12078.7470703125,12121.478486834832,12031.26771862102,12121.478486834832,633112,,,,,,,,,,,,,1085077,bear,hold
2021-07-30,12055.005859375,12059.753793939542,12012.27444829411,12036.014121116827,383421,,,,,,,,,,,,,701656,bear,hold
2021-08-02,12164.2080078125,12192.695614388174,12135.720401236827,12140.468335666106,388553,,,,,,,,,,,,,1090209,bear,hold
2021-08-03,12083.494140625,12121.477619259576,12078.746205795676,12107.233814771611,568000,,,,,,,,,,,,,522209,bear,hold
2021-08-04,12092.9892578125,12145.216537685268,12073.997519676948,12145.216537685268,483232,,,,,,,,,,,,,1005441,bear,hold
2021-08-05,12055.005859375,12088.2414013268,12031.266186552284,12069.24966306863,571907,,,,,,,,,,,,,433534,bear,hold
2021-08-06,12097.736328125,12102.484262319711,12073.996657151441,12097.736328125,322067,,,,,,,,,,,,,755601,bear,hold
2021-08-09,12111.982421875,12130.974162246423,12092.990681503577,12130.974162246423,373956,,,,,,,,,,,,,1129557,bear,hold
2021-08-10,12173.705078125,12178.453013022865,12140.469533839947,12164.20920832927,264990,,,,,,,,,,,,,1394547,bear,hold
2021-08-11,12263.916015625,12268.663950590399,12221.18460093641,12221.18460093641,347458,,,,,70.57388012160013,,,,,,,,1742005,bear,hold
2021-08-12,12349.37890625,12358.874776227893,12273.411946426855,12273.411946426855,468096,,,,,75.73868609932069,,,,,,,,2210101,bear,hold
2021-08-13,12477.572265625,12477.572265625,12401.60531119197,12401.60531119197,579364,,,,,81.09792509951073,,,,,,,,2789465,bear,hold
2021-08-17,12572.5322265625,12601.019837347763,12496.565264468467,12506.061134730222,838626,,,,,83.92977620583702,,,,,,,,3628091,bear,hold
2021-08-18,12434.8427734375,12520.305610368343,12430.094838052453,12515.557674983296,1026030,,,,,68.01767450053347,,,,,,,,2602061,bear,hold
2021-08-19,12301.900390625,12368.37148497805,12301.900390625,12330.388002490592,692269,,,,,56.81714929183302,,,,,,,,1909792,bear,hold
2021-08-20,12382.6142578125,12387.362192727305,12316.143169005223,12358.874583238472,501859,12208.143115234376,,,,61.01462075537703,,,,12516.472898262155,12208.143115234376,11899.813332206597,0.7829294349459672,2411651,bear,hold
2021-08-23,12477.572265625,12487.068134929128,12453.832592364679,12468.07639632087,573723,12229.49580078125,,,0.03543861693581496,65.2893386053369,,,,12550.108993554451,12229.49580078125,11908.882608008047,0.8868781298392124,2985374,bear,hold
2021-08-24,12491.81640625,12539.295754050267,12477.57260190992,12539.295754050267,733365,12247.29921875,,,0.02934045416892861,65.89347159101345,,,,12584.24085220148,12247.29921875,11910.357585298521,0.8628479879367759,3718739,bear,hold
2021-08-25,12491.81640625,12506.06021059008,12458.580862789813,12482.320536689947,597267,12265.10263671875,,,0.02934045416892861,65.89347159101345,,,,12614.002071792405,12265.10263671875,11916.203201645094,0.8248984474328386,4316006,bear,hold
2021-08-26,12548.79296875,12558.288839327943,12472.826004126466,12491.81774528235,441431,12285.2814453125,,,0.03322922749133972,68.44156028558196,,,,12650.416484042356,12285.2814453125,11920.146406582642,0.8608411895420123,4757437,bear,hold
2021-08-27,12510.80859375,12520.30446365038,12482.320984048862,12506.06065879981,548469,12306.884521484375,,,0.035770392485445335,64.9573927183682,,,,12671.710554317895,12306.884521484375,11942.058488650855,0.7794812512169068,4208968,bear,hold
2021-08-30,12567.7841796875,12567.7841796875,12515.55689371222,12539.29656915553,654016,12332.5234375,,,0.042536546750304494,67.62009834532819,115.2795499171807,,,12695.006226636422,12332.5234375,11970.040648363578,0.8245129827377246,4862984,bear,hold
2021-08-31,12577.2802734375,12620.011689995046,12567.784403091378,12601.019949302803,824507,12353.17705078125,,,0.033958007406623025,68.0557707325702,117.39513008430731,,,12721.962422545483,12353.17705078125,11984.391679017019,0.803839631143939,5687491,bear,hold
2021-09-01,12553.541015625,12558.288950956176,12515.557532975605,12553.541015625,605093,12376.67939453125,,,0.038899913347058446,65.6767248170448,115.82106970502718,,,12733.437826885443,12376.67939453125,12019.920962177055,0.7478730774864494,5082398,bear,hold
2021-09-02,12553.541015625,12643.751786917313,12496.565791650908,12639.003851586138,677447,12399.706982421874,,,0.03808419473414881,65.6767248170448,113.26793328587519,,,12739.288324236264,12399.706982421874,12060.125640607484,0.7265054263305332,5759845,bear,hold
